kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,seed_mass,whole_plant_height,root_dry_mass,leaf_area_per_leaf_dry_mass,leaf_area,leaf_life_span,leaf_dry_mass_per_leaf_fresh_mass,leaf_dry_mass,leaf_fresh_mass,leaf_nitrogen_content_per_leaf_area,leaf_nitrogen_content_per_leaf_dry_mass,leaf_phosphorus_content_per_leaf_area,leaf_phosphorus_content_per_leaf_dry_mass
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Campanulaceae,Campanulaceae,Campanula,Campanula,rotundifolia,Campanula rotundifolia,Campanula rotundifolia,Campanula_rotundifolia,1,NO,Campanula rotundifolia,Campanula rotundifolia,0.05595433333333333,0.24748971428571429,0.02295199199542863,26.547119032258063,72.39277948717948,7.3809678670779775,258.2857142857143,0.003902777,0.41610603988532346,0.002006374324753329,18.80804,0.09308036000000011,1.873416036531108
Plantae,Tracheophyta,A,Magnoliopsida,Celastrales,Celastraceae,Celastraceae,Celastrus,Celastrus,scandens,Celastrus scandens,Celastrus scandens,Celastrus_scandens,1,NO,Celastrus scandens,Celastrus scandens,16.891465,2.502737805069522,0.17493324978015046,16.97285708542653,5328.385595240539,5.6202385889859885,239.52791206970437,0.19274772098249737,1.103029108134399,0.001920807418381904,23.18329772293066,0.10989216000000018,1.9727418602016775
Plantae,Tracheophyta,A,Magnoliopsida,Santalales,Comandraceae,Santalaceae,Comandra,Comandra,umbellata,Comandra umbellata,Comandra umbellata,Comandra_umbellata,1,NO,Comandra umbellata,Comandra umbellata,20.061888904588344,0.4,0.1748045316486617,21.663852926961308,4877.321530031474,5.483069310157632,223.68378859046632,0.13790976074514227,0.9566828889412996,0.0018530829817047594,25.69245168611556,0.1044838800000002,2.0384093500540583
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Convolvulaceae,Convolvulaceae,Convolvulus,Convolvulus,arvensis,Convolvulus arvensis,Convolvulus arvensis,Convolvulus_arvensis,1,NO,Convolvulus arvensis,Convolvulus arvensis,18.37666666666667,0.20745454545454545,0.17043738713001488,28.73915323185185,465.9747793275862,7.96978002678092,173.39864693076922,0.03606812046666666,0.883558871020879,0.002287649,48.5868675,0.10245628000000022,2.240492332755798
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Erigeron,Erigeron,canadensis,Erigeron canadensis,Erigeron canadensis,Erigeron_canadensis,1,NO,Erigeron canadensis,Conyza canadensis,0.0463,0.6059,0.026949264028330876,20.55805373,660,6.776398913567357,306.4842384,0.024739459,0.41355817351285573,0.0018260900622599984,24.15071131977783,0.09869300000000013,1.9142007935898562
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,alternifolia,Cornus alternifolia,Cornus alternifolia,Cornus_alternifolia,1,NO,Cornus alternifolia,Cornus alternifolia,53.3338092,10.6488,0.1869462218399401,23.65924422,7844.388154861658,5.4724579539251,227.4860924502813,0.20717913686761635,1.2360677642885278,0.0017562992519999986,20.824581143602312,0.10789112000000015,1.9998540343285707
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,racemosa,Cornus racemosa,Cornus racemosa,Cornus_racemosa,1,NO,Cornus racemosa,Cornus racemosa,30.8766884,6.6912,0.17565299380652658,8.112271680041001,7033.923016112036,6,300.4268996692378,0.46594056641072085,1.1597812322992846,0.001189431,14.75,0.11090768000000024,1.8770273788512055
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,sericea,Cornus sericea,Cornus sericea,Cornus_sericea,1,NO,Cornus sericea,Cornus stolonifera,24.7867535,7.9248,0.176958584939128,17.932299529845082,5732.539226094928,5.658505883466171,237.37995927929586,0.20584875479563458,1.1983996091124576,0.0016804885164619038,21.01624838573185,0.11068404000000015,1.8972382722914267
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Danthonia,Danthonia,spicata,Danthonia spicata,Danthonia spicata,Danthonia_spicata,1,NO,Danthonia spicata,Danthonia spicata,0.519,0.07,0.006795,25.448621584752125,188.348,7.379015585224048,257.8282026045374,0.0081815,0.023975,0.0019779387521733274,33.52058832780991,0.1017234000000002,2.0561090727708695
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Elymus,Elymus,violaceus,Elymus violaceus,Elymus violaceus,Elymus_violaceus,1,NO,NA,NA,1.3294364578621407,1.0133598634394818,0.08757544571957894,16.972065458215084,2393.2589506957247,4.865261442498191,273.66953571909795,0.15260379288290074,0.5427045718610529,0.0013500775840633327,24.419221272078126,0.10254168000000022,1.829858993184986
