kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,Woodiness,growth_form,leaf_type,leaf_area,Nmass,LMA,plant_height,diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Plantae,Tracheophyta,A,Magnoliopsida,Santalales,Comandraceae,Santalaceae,Comandra,Comandra,umbellata,Comandra umbellata,Comandra umbellata,Comandra_umbellata,1,NO,Comandra umbellata,Comandra umbellata,non-woody,herbaceous non-graminoid,broadleaved,96.62,16.98419965,75.09841374,0.282842712,89.12,0.41444440165666663,0.3847376748198555,0.3212134323781552,0.3574778222366095
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Convolvulaceae,Convolvulaceae,Convolvulus,Convolvulus,arvensis,Convolvulus arvensis,Convolvulus arvensis,Convolvulus_arvensis,1,NO,Convolvulus arvensis,Convolvulus arvensis,non-woody,climber,broadleaved,670.88,33.67357285,37.08453982,0.299399835,13.3764,0.192,0.1774364816702465,0.1880035453314562,0.192
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Erigeron,Erigeron,canadensis,Erigeron canadensis,Erigeron canadensis,Erigeron_canadensis,1,NO,Erigeron canadensis,Conyza canadensis,non-woody,herbaceous non-graminoid,broadleaved,290.83,26.57768565,52.83445519,0.374494241,0.0508,0.23439838221309306,0.230916111,0.216870042,0.216870042
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,alternifolia,Cornus alternifolia,Cornus alternifolia,Cornus_alternifolia,1,NO,Cornus alternifolia,Cornus alternifolia,woody,shrub/tree,broadleaved,3376.08,16.66974776,64.73963828,8.012220905,50.9742,0.4973682401733285,0.3987733087809633,0.3281638511938002,0.49551482132341623
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,racemosa,Cornus racemosa,Cornus racemosa,Cornus_racemosa,1,NO,Cornus racemosa,Cornus racemosa,woody,shrub,broadleaved,982.62,16.98521303,54.02846591,2.981020651,31.6875,0.48809056492724484,0.40556200854567576,0.3370901260507169,0.47491037795480073
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,sericea,Cornus sericea,Cornus sericea,Cornus_sericea,1,NO,Cornus sericea,Cornus stolonifera,woody,shrub/tree,broadleaved,2345.51,17.55,45.50538139,2.663296645,25.7526,0.48,0.38389855172201093,0.32197972651086676,0.48
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Danthonia,Danthonia,spicata,Danthonia spicata,Danthonia spicata,Danthonia_spicata,1,NO,Danthonia spicata,Danthonia spicata,non-woody,herbaceous graminoid,broadleaved,730.6,8.2,117.892981,0.465906394,0.5522,0.43168335366600014,0.434333371,0.388378033,0.388378033
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Elymus,Elymus,violaceus,Elymus violaceus,Elymus violaceus,Elymus_violaceus,1,NO,NA,NA,non-woody,herbaceous graminoid,broadleaved,1459.920485597053,16.944379645975612,56.911060929561636,0.9184224743034791,2.385728972617749,0.33468790429501666,0.34146684895598584,0.30495369425197427,0.3046005299809055
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Festuca,Festuca,rubra,Festuca rubra,Festuca rubra,Festuca_rubra,1,NO,Festuca rubra,Festuca rubra,non-woody,herbaceous graminoid,broadleaved,305.76,16.1784374,74.98776021,0.356894185,0.8264,0.275943557,0.3061900078046724,0.27066040188778484,0.275943557
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,aparine,Galium aparine,Galium aparine,Galium_aparine,1,NO,Galium aparine,Galium aparine,non-woody,climber,broadleaved,159.05,25.66632034,25.91241419,0.389570305,7.7522,0.18981835323982219,0.139310853,0.168868887,0.168868887
