sciname_IN_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family,genus,specificEpithet,Old.status,sciname_IN_WFO
Oenothera biennis,TRUE,FALSE,Oenothera biennis,species,A,Onagraceae,Oenothera,biennis,,Oenothera biennis
Oenothera rhombipetala,TRUE,FALSE,Oenothera rhombipetala,species,A,Onagraceae,Oenothera,rhombipetala,,Oenothera rhombipetala
Epilobium leptophyllum,TRUE,FALSE,Epilobium leptophyllum,species,A,Onagraceae,Epilobium,leptophyllum,,Epilobium leptophyllum
Epilobium ciliatum,TRUE,FALSE,Epilobium ciliatum,species,A,Onagraceae,Epilobium,ciliatum,,Epilobium ciliatum
Ludwigia polycarpa,TRUE,FALSE,Ludwigia polycarpa,species,A,Onagraceae,Ludwigia,polycarpa,,Ludwigia polycarpa
Zanthoxylum americanum,TRUE,FALSE,Zanthoxylum americanum,species,A,Rutaceae,Zanthoxylum,americanum,,Zanthoxylum americanum
Acer rubrum,TRUE,FALSE,Acer rubrum,species,A,Sapindaceae,Acer,rubrum,,Acer rubrum
Acer negundo,TRUE,FALSE,Acer negundo,species,A,Sapindaceae,Acer,negundo,,Acer negundo
Toxicodendron radicans,TRUE,FALSE,Toxicodendron radicans,species,A,Anacardiaceae,Toxicodendron,radicans,,Toxicodendron radicans
Rhus glabra,TRUE,FALSE,Rhus glabra,species,A,Anacardiaceae,Rhus,glabra,,Rhus glabra
Rhus typhina,TRUE,FALSE,Rhus typhina,species,A,Anacardiaceae,Rhus,typhina,,Rhus typhina
Lechea stricta,TRUE,FALSE,Lechea stricta,species,A,Cistaceae,Lechea,stricta,,Lechea stricta
Crocanthemum bicknellii,TRUE,FALSE,Crocanthemum bicknellii,species,A,Cistaceae,Crocanthemum,bicknellii,,Crocanthemum bicknellii
Sisymbrium altissimum,TRUE,FALSE,Sisymbrium altissimum,species,A,Brassicaceae,Sisymbrium,altissimum,,Sisymbrium altissimum
Barbarea vulgaris,TRUE,FALSE,Barbarea vulgaris,species,A,Brassicaceae,Barbarea,vulgaris,,Barbarea vulgaris
Boechera divaricarpa,TRUE,FALSE,Boechera divaricarpa,species,A,Brassicaceae,Boechera,divaricarpa,,Boechera divaricarpa
Lepidium virginicum,TRUE,FALSE,Lepidium virginicum,species,A,Brassicaceae,Lepidium,virginicum,,Lepidium virginicum
Lepidium densiflorum,TRUE,FALSE,Lepidium densiflorum,species,A,Brassicaceae,Lepidium,densiflorum,,Lepidium densiflorum
Capsella bursa-pastoris,TRUE,FALSE,Capsella bursa-pastoris,species,A,Brassicaceae,Capsella,bursa-pastoris,,Capsella bursa-pastoris
Arabis hirsuta,TRUE,FALSE,Arabis hirsuta,species,A,Brassicaceae,Arabis,hirsuta,,Arabis hirsuta
Turritis glabra,TRUE,FALSE,Turritis glabra,species,A,Brassicaceae,Turritis,glabra,,Turritis glabra
Berteroa incana,TRUE,FALSE,Berteroa incana,species,A,Brassicaceae,Berteroa,incana,,Berteroa incana
Comandra umbellata,TRUE,FALSE,Comandra umbellata,species,A,Santalaceae,Comandra,umbellata,,Comandra umbellata
Hypericum majus,TRUE,FALSE,Hypericum majus,species,A,Hypericaceae,Hypericum,majus,,Hypericum majus
Triadenum fraseri,TRUE,FALSE,Hypericum fraseri,species,A,Hypericaceae,Hypericum,fraseri,Synonym,Hypericum fraseri
Salsola kali,TRUE,FALSE,Salsola kali,species,A,Amaranthaceae,Salsola,kali,,Salsola kali
Maianthemum racemosum,TRUE,FALSE,Maianthemum racemosum,species,A,Asparagaceae,Maianthemum,racemosum,,Maianthemum racemosum
Amaranthus retroflexus,TRUE,FALSE,Amaranthus retroflexus,species,A,Amaranthaceae,Amaranthus,retroflexus,,Amaranthus retroflexus
Palustricodon aparinoides,TRUE,FALSE,Palustricodon aparinoides,species,,,Palustricodon,aparinoides,,Palustricodon aparinoides
Chenopodiastrum hybridum,TRUE,FALSE,Chenopodiastrum hybridum,species,A,Amaranthaceae,Chenopodiastrum,hybridum,,Chenopodiastrum hybridum
Sporobolus michauxianus,TRUE,FALSE,Sporobolus michauxianus,species,A,Poaceae,Sporobolus,michauxianus,,Sporobolus michauxianus
Chenopodium leptophyllum,TRUE,FALSE,Chenopodium leptophyllum,species,A,Amaranthaceae,Chenopodium,leptophyllum,,Chenopodium leptophyllum
Chenopodium album,TRUE,FALSE,Chenopodium album,species,A,Amaranthaceae,Chenopodium,album,,Chenopodium album
Mirabilis albida,TRUE,FALSE,Mirabilis albida,species,A,Nyctaginaceae,Mirabilis,albida,,Mirabilis albida
Mirabilis nyctaginea,TRUE,FALSE,Oxybaphus nyctagineus,species,A,Nyctaginaceae,Oxybaphus,nyctagineus,Synonym,Oxybaphus nyctagineus
Portulaca oleracea,TRUE,FALSE,Portulaca oleracea,species,A,Portulacaceae,Portulaca,oleracea,,Portulaca oleracea
Mollugo verticillata,TRUE,FALSE,Mollugo verticillata,species,A,Molluginaceae,Mollugo,verticillata,,Mollugo verticillata
Silene latifolia,TRUE,FALSE,Silene latifolia,species,A,Caryophyllaceae,Silene,latifolia,,Silene latifolia
Moehringia lateriflora,TRUE,FALSE,Moehringia lateriflora,species,A,Caryophyllaceae,Moehringia,lateriflora,,Moehringia lateriflora
Silene antirrhina,TRUE,FALSE,Silene antirrhina,species,A,Caryophyllaceae,Silene,antirrhina,,Silene antirrhina
Stellaria longifolia,TRUE,FALSE,Stellaria longifolia,species,A,Caryophyllaceae,Stellaria,longifolia,,Stellaria longifolia
Stellaria media,TRUE,FALSE,Stellaria media,species,A,Caryophyllaceae,Stellaria,media,,Stellaria media
Cornus sericea,TRUE,FALSE,Cornus sericea,species,A,Cornaceae,Cornus,sericea,,Cornus sericea
Cornus racemosa,TRUE,FALSE,Cornus racemosa,species,A,Cornaceae,Cornus,racemosa,,Cornus racemosa
Cornus alternifolia,TRUE,FALSE,Cornus alternifolia,species,A,Cornaceae,Cornus,alternifolia,,Cornus alternifolia
Pyrola rotundifolia,TRUE,FALSE,Pyrola rotundifolia,species,A,Ericaceae,Pyrola,rotundifolia,,Pyrola rotundifolia
Chamaedaphne calyculata,TRUE,FALSE,Chamaedaphne calyculata,species,A,Ericaceae,Chamaedaphne,calyculata,,Chamaedaphne calyculata
Vaccinium angustifolium,TRUE,FALSE,Vaccinium angustifolium,species,A,Ericaceae,Vaccinium,angustifolium,,Vaccinium angustifolium
Vaccinium myrtilloides,TRUE,FALSE,Vaccinium myrtilloides,species,A,Ericaceae,Vaccinium,myrtilloides,,Vaccinium myrtilloides
Impatiens capensis,TRUE,FALSE,Impatiens capensis,species,A,Balsaminaceae,Impatiens,capensis,,Impatiens capensis
Phlox pilosa,TRUE,FALSE,Phlox pilosa,species,A,Polemoniaceae,Phlox,pilosa,,Phlox pilosa
Phlox paniculata,TRUE,FALSE,Phlox paniculata,species,A,Polemoniaceae,Phlox,paniculata,,Phlox paniculata
Lysimachia ciliata,TRUE,FALSE,Lysimachia ciliata,species,A,Primulaceae,Lysimachia,ciliata,,Lysimachia ciliata
Lysimachia thyrsiflora,TRUE,FALSE,Lysimachia thyrsiflora,species,A,Primulaceae,Lysimachia,thyrsiflora,,Lysimachia thyrsiflora
Elymus violaceus,TRUE,FALSE,Elymus violaceus,species,A,Poaceae,Elymus,violaceus,,Elymus violaceus
Ilex verticillata,TRUE,FALSE,Ilex verticillata,species,A,Aquifoliaceae,Ilex,verticillata,,Ilex verticillata
Polygonum tenue,TRUE,FALSE,Polygonum tenue,species,A,Polygonaceae,Polygonum,tenue,,Polygonum tenue
Polygonella articulata,TRUE,FALSE,Polygonella articulata,species,A,Polygonaceae,Polygonella,articulata,,Polygonella articulata
Fallopia convolvulus,TRUE,FALSE,Fallopia convolvulus,species,A,Polygonaceae,Fallopia,convolvulus,,Fallopia convolvulus
Fallopia scandens,TRUE,FALSE,Fallopia scandens,species,A,Polygonaceae,Fallopia,scandens,,Fallopia scandens
Persicaria thunbergii,TRUE,FALSE,Polygonum thunbergii,species,A,Polygonaceae,Polygonum,thunbergii,Synonym,Polygonum thunbergii
Persicaria sagittata,TRUE,FALSE,Persicaria sagittata,species,A,Polygonaceae,Persicaria,sagittata,,Persicaria sagittata
Persicaria amphibia,TRUE,FALSE,Persicaria amphibia,species,A,Polygonaceae,Persicaria,amphibia,,Persicaria amphibia
Persicaria lapathifolia,TRUE,FALSE,Persicaria lapathifolia,species,A,Polygonaceae,Persicaria,lapathifolia,,Persicaria lapathifolia
Persicaria pensylvanica,TRUE,FALSE,Persicaria pensylvanica,species,A,Polygonaceae,Persicaria,pensylvanica,,Persicaria pensylvanica
Persicaria maculosa,TRUE,FALSE,Persicaria maculosa,species,A,Polygonaceae,Persicaria,maculosa,,Persicaria maculosa
Persicaria hydropiper,TRUE,FALSE,Persicaria hydropiper,species,A,Polygonaceae,Persicaria,hydropiper,,Persicaria hydropiper
Rumex acetosella,TRUE,FALSE,Rumex acetosella,species,A,Polygonaceae,Rumex,acetosella,,Rumex acetosella
Rumex britannica,TRUE,FALSE,Rumex britannica,species,A,Polygonaceae,Rumex,britannica,,Rumex britannica
Rhamnus cathartica,TRUE,FALSE,Rhamnus cathartica,species,A,Rhamnaceae,Rhamnus,cathartica,,Rhamnus cathartica
Gentiana andrewsii,TRUE,FALSE,Gentiana andrewsii,species,A,Gentianaceae,Gentiana,andrewsii,,Gentiana andrewsii
Houstonia longifolia,TRUE,FALSE,Houstonia longifolia,species,A,Rubiaceae,Houstonia,longifolia,,Houstonia longifolia
Galium obtusum,TRUE,FALSE,Galium obtusum,species,A,Rubiaceae,Galium,obtusum,,Galium obtusum
Galium boreale,TRUE,FALSE,Galium boreale,species,A,Rubiaceae,Galium,boreale,,Galium boreale
Galium concinnum,TRUE,FALSE,Galium concinnum,species,A,Rubiaceae,Galium,concinnum,,Galium concinnum
Galium aparine,TRUE,FALSE,Galium aparine,species,A,Rubiaceae,Galium,aparine,,Galium aparine
Galium triflorum,TRUE,FALSE,Galium triflorum,species,A,Rubiaceae,Galium,triflorum,,Galium triflorum
Galium trifidum,TRUE,FALSE,Galium trifidum,species,A,Rubiaceae,Galium,trifidum,,Galium trifidum
Apocynum androsaemifolium,TRUE,FALSE,Apocynum androsaemifolium,species,A,Apocynaceae,Apocynum,androsaemifolium,,Apocynum androsaemifolium
Apocynum cannabinum,TRUE,FALSE,Apocynum cannabinum,species,A,Apocynaceae,Apocynum,cannabinum,,Apocynum cannabinum
Asclepias verticillata,TRUE,FALSE,Asclepias verticillata,species,A,Apocynaceae,Asclepias,verticillata,,Asclepias verticillata
Asclepias viridiflora,TRUE,FALSE,Asclepias viridiflora,species,A,Apocynaceae,Asclepias,viridiflora,,Asclepias viridiflora
Asclepias ovalifolia,TRUE,FALSE,Asclepias ovalifolia,species,A,Apocynaceae,Asclepias,ovalifolia,,Asclepias ovalifolia
Asclepias syriaca,TRUE,FALSE,Asclepias syriaca,species,A,Apocynaceae,Asclepias,syriaca,,Asclepias syriaca
Asclepias tuberosa,TRUE,FALSE,Asclepias tuberosa,species,A,Apocynaceae,Asclepias,tuberosa,,Asclepias tuberosa
Asclepias exaltata,TRUE,FALSE,Asclepias exaltata,species,A,Apocynaceae,Asclepias,exaltata,,Asclepias exaltata
Asclepias incarnata,TRUE,FALSE,Asclepias incarnata,species,A,Apocynaceae,Asclepias,incarnata,,Asclepias incarnata
Convolvulus arvensis,TRUE,FALSE,Convolvulus arvensis,species,A,Convolvulaceae,Convolvulus,arvensis,,Convolvulus arvensis
Physalis virginiana,TRUE,FALSE,Physalis virginiana,species,A,Solanaceae,Physalis,virginiana,,Physalis virginiana
Physalis heterophylla,TRUE,FALSE,Physalis heterophylla,species,A,Solanaceae,Physalis,heterophylla,,Physalis heterophylla
Physalis pubescens,TRUE,FALSE,Physalis pubescens,species,A,Solanaceae,Physalis,pubescens,,Physalis pubescens
Solanum carolinense,TRUE,FALSE,Solanum carolinense,species,A,Solanaceae,Solanum,carolinense,,Solanum carolinense
Solanum dulcamara,TRUE,FALSE,Solanum dulcamara,species,A,Solanaceae,Solanum,dulcamara,,Solanum dulcamara
Solanum americanum,TRUE,FALSE,Solanum americanum,species,A,Solanaceae,Solanum,americanum,,Solanum americanum
Solanum nigrum,TRUE,FALSE,Solanum nigrum,species,A,Solanaceae,Solanum,nigrum,,Solanum nigrum
Fraxinus nigra,TRUE,FALSE,Fraxinus nigra,species,A,Oleaceae,Fraxinus,nigra,,Fraxinus nigra
Fraxinus americana,TRUE,FALSE,Fraxinus americana,species,A,Oleaceae,Fraxinus,americana,,Fraxinus americana
Fraxinus pennsylvanica,TRUE,FALSE,Fraxinus pennsylvanica,species,A,Oleaceae,Fraxinus,pennsylvanica,,Fraxinus pennsylvanica
Penstemon digitalis,TRUE,FALSE,Penstemon digitalis,species,A,Plantaginaceae,Penstemon,digitalis,,Penstemon digitalis
Penstemon gracilis,TRUE,FALSE,Penstemon gracilis,species,A,Plantaginaceae,Penstemon,gracilis,,Penstemon gracilis
Plantago major,TRUE,FALSE,Plantago major,species,A,Plantaginaceae,Plantago,major,,Plantago major
Plantago lanceolata,TRUE,FALSE,Plantago lanceolata,species,A,Plantaginaceae,Plantago,lanceolata,,Plantago lanceolata
Plantago patagonica,TRUE,FALSE,Plantago patagonica,species,A,Plantaginaceae,Plantago,patagonica,,Plantago patagonica
Veronicastrum virginicum,TRUE,FALSE,Veronicastrum virginicum,species,A,Plantaginaceae,Veronicastrum,virginicum,,Veronicastrum virginicum
Linaria vulgaris,TRUE,FALSE,Linaria vulgaris,species,A,Plantaginaceae,Linaria,vulgaris,,Linaria vulgaris
Verbena hastata,TRUE,FALSE,Verbena hastata,species,A,Verbenaceae,Verbena,hastata,,Verbena hastata
Verbena stricta,TRUE,FALSE,Verbena stricta,species,A,Verbenaceae,Verbena,stricta,,Verbena stricta
Verbena bracteata,TRUE,FALSE,Verbena bracteata,species,A,Verbenaceae,Verbena,bracteata,,Verbena bracteata
Mosla dianthera,TRUE,FALSE,Mosla dianthera,species,A,Lamiaceae,Mosla,dianthera,,Mosla dianthera
Lycopus americanus,TRUE,FALSE,Lycopus americanus,species,A,Lamiaceae,Lycopus,americanus,,Lycopus americanus
Lycopus uniflorus,TRUE,FALSE,Lycopus uniflorus,species,A,Lamiaceae,Lycopus,uniflorus,,Lycopus uniflorus
Prunella vulgaris,TRUE,FALSE,Prunella vulgaris,species,A,Lamiaceae,Prunella,vulgaris,,Prunella vulgaris
Pycnanthemum virginianum,TRUE,FALSE,Pycnanthemum virginianum,species,A,Lamiaceae,Pycnanthemum,virginianum,,Pycnanthemum virginianum
Hedeoma hispida,TRUE,FALSE,Hedeoma hispida,species,A,Lamiaceae,Hedeoma,hispida,,Hedeoma hispida
Monarda punctata,TRUE,FALSE,Monarda punctata,species,A,Lamiaceae,Monarda,punctata,,Monarda punctata
Monarda fistulosa,TRUE,FALSE,Monarda fistulosa,species,A,Lamiaceae,Monarda,fistulosa,,Monarda fistulosa
Agastache foeniculum,TRUE,FALSE,Agastache foeniculum,species,A,Lamiaceae,Agastache,foeniculum,,Agastache foeniculum
Nepeta cataria,TRUE,FALSE,Nepeta cataria,species,A,Lamiaceae,Nepeta,cataria,,Nepeta cataria
Glechoma hederacea,TRUE,FALSE,Glechoma hederacea,species,A,Lamiaceae,Glechoma,hederacea,,Glechoma hederacea
Scutellaria lateriflora,TRUE,FALSE,Scutellaria lateriflora,species,A,Lamiaceae,Scutellaria,lateriflora,,Scutellaria lateriflora
Scutellaria parvula,TRUE,FALSE,Scutellaria parvula,species,A,Lamiaceae,Scutellaria,parvula,,Scutellaria parvula
Scutellaria galericulata,TRUE,FALSE,Scutellaria galericulata,species,A,Lamiaceae,Scutellaria,galericulata,,Scutellaria galericulata
Stachys palustris,TRUE,FALSE,Stachys palustris,species,A,Lamiaceae,Stachys,palustris,,Stachys palustris
Stachys tenuifolia,TRUE,FALSE,Stachys tenuifolia,species,A,Lamiaceae,Stachys,tenuifolia,,Stachys tenuifolia
Seemannia sylvatica,TRUE,FALSE,Seemannia sylvatica,species,A,Gesneriaceae,Seemannia,sylvatica,,Seemannia sylvatica
Mimulus ringens,TRUE,FALSE,Mimulus ringens,species,A,Phrymaceae,Mimulus,ringens,,Mimulus ringens
Phryma leptostachya,TRUE,FALSE,Phryma leptostachya,species,A,Phrymaceae,Phryma,leptostachya,,Phryma leptostachya
Pedicularis canadensis,TRUE,FALSE,Pedicularis canadensis,species,A,Orobanchaceae,Pedicularis,canadensis,,Pedicularis canadensis
Verbascum thapsus,TRUE,FALSE,Verbascum thapsus,species,A,Scrophulariaceae,Verbascum,thapsus,,Verbascum thapsus
Lithospermum carolinense,TRUE,TRUE,Lithospermum caroliniense,species,A,Boraginaceae,Lithospermum,caroliniense,,Lithospermum caroliniense
Lithospermum canescens,TRUE,FALSE,Lithospermum canescens,species,A,Boraginaceae,Lithospermum,canescens,,Lithospermum canescens
Lithospermum caroliniense,TRUE,FALSE,Lithospermum caroliniense,species,A,Boraginaceae,Lithospermum,caroliniense,,Lithospermum caroliniense
Hackelia virginiana,TRUE,FALSE,Hackelia virginiana,species,A,Boraginaceae,Hackelia,virginiana,,Hackelia virginiana
Hackelia deflexa,TRUE,FALSE,Hackelia deflexa,species,A,Boraginaceae,Hackelia,deflexa,,Hackelia deflexa
Cicuta bulbifera,TRUE,FALSE,Cicuta bulbifera,species,A,Apiaceae,Cicuta,bulbifera,,Cicuta bulbifera
Zizia aptera,TRUE,FALSE,Zizia aptera,species,A,Apiaceae,Zizia,aptera,,Zizia aptera
Zizia aurea,TRUE,FALSE,Zizia aurea,species,A,Apiaceae,Zizia,aurea,,Zizia aurea
Aralia nudicaulis,TRUE,FALSE,Aralia nudicaulis,species,A,Araliaceae,Aralia,nudicaulis,,Aralia nudicaulis
Viburnum lentago,TRUE,FALSE,Viburnum lentago,species,A,Viburnaceae,Viburnum,lentago,,Viburnum lentago
Lonicera dioica,TRUE,FALSE,Lonicera dioica,species,A,Caprifoliaceae,Lonicera,dioica,,Lonicera dioica
Lonicera morrowii,TRUE,FALSE,Lonicera morrowii,species,A,Caprifoliaceae,Lonicera,morrowii,,Lonicera morrowii
Lonicera tatarica,TRUE,FALSE,Lonicera tatarica,species,A,Caprifoliaceae,Lonicera,tatarica,,Lonicera tatarica
Symphoricarpos occidentalis,TRUE,FALSE,Symphoricarpos occidentalis,species,A,Caprifoliaceae,Symphoricarpos,occidentalis,,Symphoricarpos occidentalis
Lobelia spicata,TRUE,FALSE,Lobelia spicata,species,A,Campanulaceae,Lobelia,spicata,,Lobelia spicata
Lobelia siphilitica,TRUE,FALSE,Lobelia siphilitica,species,A,Campanulaceae,Lobelia,siphilitica,,Lobelia siphilitica
Campanula rotundifolia,TRUE,FALSE,Campanula rotundifolia,species,A,Campanulaceae,Campanula,rotundifolia,,Campanula rotundifolia
Bidens tripartita,TRUE,FALSE,Bidens tripartita,species,A,Asteraceae,Bidens,tripartita,,Bidens tripartita
Bidens trichosperma,TRUE,FALSE,Bidens trichosperma,species,A,Asteraceae,Bidens,trichosperma,,Bidens trichosperma
Bidens cernua,TRUE,FALSE,Bidens cernua,species,A,Asteraceae,Bidens,cernua,,Bidens cernua
Bidens coronata,TRUE,FALSE,Bidens coronata,species,A,Asteraceae,Bidens,coronata,,Bidens coronata
Coreopsis palmata,TRUE,FALSE,Coreopsis palmata,species,A,Asteraceae,Coreopsis,palmata,,Coreopsis palmata
Helenium autumnale,TRUE,FALSE,Helenium autumnale,species,A,Asteraceae,Helenium,autumnale,,Helenium autumnale
Eutrochium maculatum,TRUE,FALSE,Eutrochium maculatum,species,A,Asteraceae,Eutrochium,maculatum,,Eutrochium maculatum
Eupatorium perfoliatum,TRUE,FALSE,Eupatorium perfoliatum,species,A,Asteraceae,Eupatorium,perfoliatum,,Eupatorium perfoliatum
Liatris ligulistylis,TRUE,FALSE,Liatris ligulistylis,species,A,Asteraceae,Liatris,ligulistylis,,Liatris ligulistylis
Liatris pycnostachya,TRUE,FALSE,Liatris pycnostachya,species,A,Asteraceae,Liatris,pycnostachya,,Liatris pycnostachya
Liatris aspera,TRUE,FALSE,Liatris aspera,species,A,Asteraceae,Liatris,aspera,,Liatris aspera
Ratibida pinnata,TRUE,FALSE,Ratibida pinnata,species,A,Asteraceae,Ratibida,pinnata,,Ratibida pinnata
Rudbeckia hirta,TRUE,FALSE,Rudbeckia hirta,species,A,Asteraceae,Rudbeckia,hirta,,Rudbeckia hirta
Echinacea purpurea,TRUE,FALSE,Echinacea purpurea,species,A,Asteraceae,Echinacea,purpurea,,Echinacea purpurea
Heliopsis helianthoides,TRUE,FALSE,Heliopsis helianthoides,species,A,Asteraceae,Heliopsis,helianthoides,,Heliopsis helianthoides
Ambrosia artemisiifolia,TRUE,FALSE,Ambrosia artemisiifolia,species,A,Asteraceae,Ambrosia,artemisiifolia,,Ambrosia artemisiifolia
Ambrosia psilostachya,TRUE,FALSE,Ambrosia psilostachya,species,A,Asteraceae,Ambrosia,psilostachya,,Ambrosia psilostachya
Helianthus hirsutus,TRUE,FALSE,Helianthus hirsutus,species,A,Asteraceae,Helianthus,hirsutus,,Helianthus hirsutus
Helianthus petiolaris,TRUE,FALSE,Helianthus petiolaris,species,A,Asteraceae,Helianthus,petiolaris,,Helianthus petiolaris
Helianthus giganteus,TRUE,FALSE,Helianthus giganteus,species,A,Asteraceae,Helianthus,giganteus,,Helianthus giganteus
Erechtites hieraciifolius,TRUE,FALSE,Erechtites hieraciifolius,species,A,Asteraceae,Erechtites,hieraciifolius,,Erechtites hieraciifolius
Packera aurea,TRUE,FALSE,Packera aurea,species,A,Asteraceae,Packera,aurea,,Packera aurea
Packera paupercula,TRUE,FALSE,Packera paupercula,species,A,Asteraceae,Packera,paupercula,,Packera paupercula
Heterotheca villosa,TRUE,FALSE,Heterotheca villosa,species,A,Asteraceae,Heterotheca,villosa,,Heterotheca villosa
Symphyotrichum boreale,TRUE,FALSE,Symphyotrichum boreale,species,A,Asteraceae,Symphyotrichum,boreale,,Symphyotrichum boreale
Erigeron philadelphicus,TRUE,FALSE,Erigeron philadelphicus,species,A,Asteraceae,Erigeron,philadelphicus,,Erigeron philadelphicus
Erigeron strigosus,TRUE,FALSE,Erigeron strigosus,species,A,Asteraceae,Erigeron,strigosus,,Erigeron strigosus
Erigeron annuus,TRUE,FALSE,Erigeron annuus,species,A,Asteraceae,Erigeron,annuus,,Erigeron annuus
Erigeron canadensis,TRUE,FALSE,Erigeron canadensis,species,A,Asteraceae,Erigeron,canadensis,,Erigeron canadensis
Symphyotrichum oolentangiense,TRUE,FALSE,Symphyotrichum oolentangiense,species,A,Asteraceae,Symphyotrichum,oolentangiense,,Symphyotrichum oolentangiense
Symphyotrichum puniceum,TRUE,FALSE,Symphyotrichum puniceum,species,A,Asteraceae,Symphyotrichum,puniceum,,Symphyotrichum puniceum
Symphyotrichum ericoides,TRUE,FALSE,Symphyotrichum ericoides,species,A,Asteraceae,Symphyotrichum,ericoides,,Symphyotrichum ericoides
Symphyotrichum lanceolatum,TRUE,FALSE,Symphyotrichum lanceolatum,species,A,Asteraceae,Symphyotrichum,lanceolatum,,Symphyotrichum lanceolatum
Symphyotrichum novae-angliae,TRUE,FALSE,Symphyotrichum novae-angliae,species,A,Asteraceae,Symphyotrichum,novae-angliae,,Symphyotrichum novae-angliae
Solidago rigida,TRUE,FALSE,Solidago rigida,species,A,Asteraceae,Solidago,rigida,,Solidago rigida
Solidago canadensis,TRUE,FALSE,Solidago canadensis,species,A,Asteraceae,Solidago,canadensis,,Solidago canadensis
Solidago nemoralis,TRUE,FALSE,Solidago nemoralis,species,A,Asteraceae,Solidago,nemoralis,,Solidago nemoralis
Solidago missouriensis,TRUE,FALSE,Solidago missouriensis,species,A,Asteraceae,Solidago,missouriensis,,Solidago missouriensis
Solidago juncea,TRUE,FALSE,Solidago juncea,species,A,Asteraceae,Solidago,juncea,,Solidago juncea
Solidago gigantea,TRUE,FALSE,Solidago gigantea,species,A,Asteraceae,Solidago,gigantea,,Solidago gigantea
Solidago altissima,TRUE,FALSE,Solidago altissima,species,A,Asteraceae,Solidago,altissima,,Solidago altissima
Solidago speciosa,TRUE,FALSE,Solidago speciosa,species,A,Asteraceae,Solidago,speciosa,,Solidago speciosa
Solidago ptarmicoides,TRUE,FALSE,Solidago ptarmicoides,species,A,Asteraceae,Solidago,ptarmicoides,,Solidago ptarmicoides
Eurybia macrophylla,TRUE,FALSE,Eurybia macrophylla,species,A,Asteraceae,Eurybia,macrophylla,,Eurybia macrophylla
Euthamia graminifolia,TRUE,FALSE,Euthamia graminifolia,species,A,Asteraceae,Euthamia,graminifolia,,Euthamia graminifolia
Doellingeria umbellata,TRUE,FALSE,Doellingeria umbellata,species,A,Asteraceae,Doellingeria,umbellata,,Doellingeria umbellata
Achillea millefolium,TRUE,FALSE,Achillea millefolium,species,A,Asteraceae,Achillea,millefolium,,Achillea millefolium
Artemisia ludoviciana,TRUE,FALSE,Artemisia ludoviciana,species,A,Asteraceae,Artemisia,ludoviciana,,Artemisia ludoviciana
Artemisia campestris,TRUE,FALSE,Artemisia campestris,species,A,Asteraceae,Artemisia,campestris,,Artemisia campestris
Gnaphalium uliginosum,TRUE,FALSE,Gnaphalium uliginosum,species,A,Asteraceae,Gnaphalium,uliginosum,,Gnaphalium uliginosum
Antennaria plantaginifolia,TRUE,FALSE,Antennaria plantaginifolia,species,A,Asteraceae,Antennaria,plantaginifolia,,Antennaria plantaginifolia
Antennaria parlinii,TRUE,FALSE,Antennaria parlinii,species,A,Asteraceae,Antennaria,parlinii,,Antennaria parlinii
Antennaria neglecta,TRUE,FALSE,Antennaria neglecta,species,A,Asteraceae,Antennaria,neglecta,,Antennaria neglecta
Gamochaeta purpurea,TRUE,FALSE,Gamochaeta purpurea,species,A,Asteraceae,Gamochaeta,purpurea,,Gamochaeta purpurea
Cirsium altissimum,TRUE,FALSE,Cirsium altissimum,species,A,Asteraceae,Cirsium,altissimum,,Cirsium altissimum
Cirsium arvense,TRUE,FALSE,Cirsium arvense,species,A,Asteraceae,Cirsium,arvense,,Cirsium arvense
Cirsium discolor,TRUE,FALSE,Cirsium discolor,species,A,Asteraceae,Cirsium,discolor,,Cirsium discolor
Tragopogon dubius,TRUE,FALSE,Tragopogon dubius,species,A,Asteraceae,Tragopogon,dubius,,Tragopogon dubius
Hieracium longipilum,TRUE,FALSE,Pilosella longipila,species,A,Asteraceae,Pilosella,longipila,Synonym,Pilosella longipila
Hieracium umbellatum,TRUE,FALSE,Hieracium umbellatum,species,A,Asteraceae,Hieracium,umbellatum,,Hieracium umbellatum
Lactuca serriola,TRUE,FALSE,Lactuca serriola,species,A,Asteraceae,Lactuca,serriola,,Lactuca serriola
Lactuca canadensis,TRUE,FALSE,Lactuca canadensis,species,A,Asteraceae,Lactuca,canadensis,,Lactuca canadensis
Lactuca biennis,TRUE,FALSE,Lactuca biennis,species,A,Asteraceae,Lactuca,biennis,,Lactuca biennis
Taraxacum officinale,TRUE,FALSE,Taraxacum officinale,species,A,Asteraceae,Taraxacum,officinale,,Taraxacum officinale
Nabalus racemosus,TRUE,FALSE,Nabalus racemosus,species,A,Asteraceae,Nabalus,racemosus,,Nabalus racemosus
Nabalus albus,TRUE,FALSE,Nabalus albus,species,A,Asteraceae,Nabalus,albus,,Nabalus albus
Crepis tectorum,TRUE,FALSE,Crepis tectorum,species,A,Asteraceae,Crepis,tectorum,,Crepis tectorum
Sonchus arvensis,TRUE,FALSE,Sonchus arvensis,species,A,Asteraceae,Sonchus,arvensis,,Sonchus arvensis
Krigia biflora,TRUE,FALSE,Krigia biflora,species,A,Asteraceae,Krigia,biflora,,Krigia biflora
Vernonia fasciculata,TRUE,FALSE,Vernonia fasciculata,species,A,Asteraceae,Vernonia,fasciculata,,Vernonia fasciculata
