sciname_NO_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family_WFO,genus_WFO,specificEpithet,Old.status,sciname_IN_WFO,tipLabel,IN_Phylogeny
Penstemon cobaea,TRUE,FALSE,Penstemon cobaea,species,A,Plantaginaceae,Penstemon,cobaea,,Penstemon cobaea,Penstemon_cobaea,0
Amelanchier interior,TRUE,FALSE,Amelanchier interior,species,A,Rosaceae,Amelanchier,interior,,Amelanchier interior,Amelanchier_interior,0
Amelanchier laevis,TRUE,FALSE,Amelanchier laevis,species,A,Rosaceae,Amelanchier,laevis,,Amelanchier laevis,Amelanchier_laevis,0
Demia testudo,TRUE,TRUE,Deamia testudo,species,A,Cactaceae,Deamia,testudo,,Deamia testudo,Deamia_testudo,0
Galium aparine,TRUE,FALSE,Galium aparine,species,A,Rubiaceae,Galium,aparine,,Galium aparine,Galium_aparine,0
Galium asperellum,TRUE,TRUE,Galium asprellum,species,A,Rubiaceae,Galium,asprellum,,Galium asprellum,Galium_asprellum,0
Galium boreale,TRUE,FALSE,Galium boreale,species,A,Rubiaceae,Galium,boreale,,Galium boreale,Galium_boreale,0
Galium concinnum,TRUE,FALSE,Galium concinnum,species,A,Rubiaceae,Galium,concinnum,,Galium concinnum,Galium_concinnum,0
Galium obtusum,TRUE,FALSE,Galium obtusum,species,A,Rubiaceae,Galium,obtusum,,Galium obtusum,Galium_obtusum,0
Galium trifolium,TRUE,TRUE,Galium bifolium,species,A,Rubiaceae,Galium,bifolium,,Galium bifolium,Galium_bifolium,0
