kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_NO_Phylogeny,tipLabel,IN_Phylogeny
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,sp.,Solidago sp.,Solidago sp.,Solidago_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Sporobolus,Spartina,pectinata,Spartina pectinata,Spartina pectinata,Spartina_pectinata,0
Plantae,Bryophyta,B,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnaceae,Sphagnum,Sphagnum,sp.,Sphagnum sp.,Sphagnum sp.,Sphagnum_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Stachys,Stachys,sp.,Stachys sp.,Stachys sp.,Stachys_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Taraxacum,Taraxacum,sp.,Taraxacum sp.,Taraxacum sp.,Taraxacum_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Taraxacum,Taraxacum,campylodes,Taraxacum campylodes,Taraxacum campylodes,Taraxacum_campylodes,0
Plantae,Tracheophyta,P,Polypodiopsida,Polypodiales,Thelypteridaceae,Thelypteridaceae,Thelypteris,Thelypteris,confluens,Thelypteris confluens,Thelypteris confluens,Thelypteris_confluens,0
Plantae,Tracheophyta,A,Liliopsida,Commelinales,Commelinaceae,Commelinaceae,Tradescantia,Tradescantia,sp.,Tradescantia sp.,Tradescantia sp.,Tradescantia_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Tragopogon,Tragopogon,duarius,Tragopogon duarius,Tragopogon duarius,Tragopogon_duarius,0
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Hypericaceae,Hypericaceae,Triadenum,Hypericum,fraseri,Hypericum fraseri,Triadenum fraseri,Hypericum_fraseri,0
Plantae,Tracheophyta,A,Magnoliopsida,Ericales,Primulaceae,Primulaceae,Lysimachia,Lysimachia,borealis,Lysimachia borealis,Trientalis borealis,Lysimachia_borealis,0
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Trifolium,Trifolium,sp.,Trifolium sp.,Trifolium sp.,Trifolium_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Typhaceae,Typhaceae,Typha,Typha,sp.,Typha sp.,Typha sp.,Typha_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Ulmaceae,Ulmaceae,Ulmus,Ulmus,sp.,Ulmus sp.,Ulmus sp.,Ulmus_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lentibulariaceae,Lentibulariaceae,Utricularia,Utricularia,sp.,Utricularia sp.,Utricularia sp.,Utricularia_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Ericales,Ericaceae,Ericaceae,Vaccinium,Vaccinium,sp.,Vaccinium sp.,Vaccinium sp.,Vaccinium_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Violaceae,Violaceae,Viola,Viola,sp.,Viola sp.,Viola sp.,Viola_sp.,0
Plantae,Tracheophyta,P,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteridaceae,Dryopteris,Dryopteris,leedsii,Dryopteris leedsii,Dryopteris leedsii,Dryopteris_leedsii,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Xyridaceae,Xyridaceae,Xyris,Xyris,torta,Xyris torta,Xyris torta,Xyris_torta,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Tragopogon,Tragopogon,dubius,Tragopogon dubius,Tragopogon dubius,Tragopogon_dubius,0
Plantae,Tracheophyta,A,Magnoliopsida,Malvales,Cistaceae,Cistaceae,Crocanthemum,Crocanthemum,bicknellii,Crocanthemum bicknellii,Crocanthemum bicknellii,Crocanthemum_bicknellii,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Dichanthelium,Dichanthelium,linearifolium,Dichanthelium linearifolium,Dichanthelium linearifolium,Dichanthelium_linearifolium,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Hieracium,Pilosella,longipila,Pilosella longipila,Pilosella longipila,Pilosella_longipila,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Dichanthelium,Dichanthelium,praecocius,Dichanthelium praecocius,Dichanthelium praecocius,Dichanthelium_praecocius,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Artemisia,Artemisia,campestris,Artemisia campestris,Artemisia campestris,Artemisia_campestris,0
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbia,Euphorbia,maculata,Euphorbia maculata,Euphorbia maculata,Euphorbia_maculata,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Andropogon,Andropogon,gerardii,Andropogon gerardii,Andropogon gerardii,Andropogon_gerardii,0
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,Plantago,patagonica,Plantago patagonica,Plantago patagonica,Plantago_patagonica,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Taraxacum,Taraxacum,officinale,Taraxacum officinale,Taraxacum officinale,Taraxacum_officinale,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Erigeron,Erigeron,philadelphicus,Erigeron philadelphicus,Erigeron philadelphicus,Erigeron_philadelphicus,0
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Melilotus,Melilotus,albus,Melilotus albus,Melilotus albus,Melilotus_albus,0
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Amphicarpaea,Amphicarpa,bracteata,Amphicarpa bracteata,Amphicarpa bracteata,Amphicarpa_bracteata,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Hesperostipa,Stipa,spartea,Stipa spartea,Hesperostipa spartea,Stipa_spartea,0
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Physalis,Physalis,heterophylla,Physalis heterophylla,Physalis heterophylla,Physalis_heterophylla,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Koeleria,Koeleria,pyramidata,Koeleria pyramidata,Koeleria pyramidata,Koeleria_pyramidata,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Bouteloua,Bouteloua,hirsuta,Bouteloua hirsuta,Bouteloua hirsuta,Bouteloua_hirsuta,0
Plantae,Tracheophyta,A,Magnoliopsida,Boraginales,Boraginaceae,Boraginaceae,Hackelia,Hackelia,virginiana,Hackelia virginiana,Hackelia virginiana,Hackelia_virginiana,0
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthaceae,Salsola,Salsola,kali,Salsola kali,Salsola kali,Salsola_kali,0
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Dalea,Dalea,candida,Dalea candida,Dalea candida,Dalea_candida,0
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Vicia,Vicia,setifolia,Vicia setifolia,Vicia setifolia,Vicia_setifolia,0
Plantae,Tracheophyta,A,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Pulsatilla,Pulsatilla,patens,Pulsatilla patens,Pulsatilla patens,Pulsatilla_patens,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Hesperostipa,Stipa,comata,Stipa comata,Hesperostipa comata,Stipa_comata,0
Plantae,Tracheophyta,A,Magnoliopsida,Vitales,Vitaceae,Vitaceae,Parthenocissus,Parthenocissus,vitacea,Parthenocissus vitacea,Parthenocissus vitacea,Parthenocissus_vitacea,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Cirsium,Cirsium,altissimum,Cirsium altissimum,Cirsium altissimum,Cirsium_altissimum,0
Plantae,Tracheophyta,A,Magnoliopsida,Vitales,Vitaceae,Vitaceae,Vitis,Vitis,riparia,Vitis riparia,Vitis riparia,Vitis_riparia,0
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Penstemon,Penstemon,cobaea,Penstemon cobaea,Penstemon cobaea,Penstemon_cobaea,0
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Amelanchier,Amelanchier,interior,Amelanchier interior,Amelanchier interior,Amelanchier_interior,0
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Amelanchier,Amelanchier,laevis,Amelanchier laevis,Amelanchier laevis,Amelanchier_laevis,0
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Cactaceae,Cactaceae,Deamia,Deamia,testudo,Deamia testudo,Demia testudo,Deamia_testudo,0
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,aparine,Galium aparine,Galium aparine,Galium_aparine,0
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,asprellum,Galium asprellum,Galium asperellum,Galium_asprellum,0
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,boreale,Galium boreale,Galium boreale,Galium_boreale,0
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,concinnum,Galium concinnum,Galium concinnum,Galium_concinnum,0
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,obtusum,Galium obtusum,Galium obtusum,Galium_obtusum,0
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,bifolium,Galium bifolium,Galium trifolium,Galium_bifolium,0
