kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_NO_Phylogeny,tipLabel,IN_Phylogeny
Plantae,Tracheophyta,A,Magnoliopsida,Apiales,Apiaceae,Apiaceae,Heptaptera,Heptaptera,sp.,Heptaptera sp.,Colladonia sp.,Heptaptera_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Cornales,Cornaceae,Cornaceae,Cornus,Cornus,sp.,Cornus sp.,Cornus sp.,Cornus_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthaceae,Dysphania,Cycloloma,atriplicifolium,Cycloloma atriplicifolium,Cycloloma atriplicifolium,Cycloloma_atriplicifolium,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Cyperaceae,Cyperaceae,Cyperus,Cyperus,sp.,Cyperus sp.,Cyperus sp.,Cyperus_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Fabales,Fabaceae,Fabaceae,Hylodesmum,Hylodesmum,glutinosum,Hylodesmum glutinosum,Desmodium glutinosum,Hylodesmum_glutinosum,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Digitaria,Digitaria,sp.,Digitaria sp.,Digitaria sp.,Digitaria_sp.,0
Plantae,Tracheophyta,P,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteridaceae,Dryopteris,Dryopteris,cristata,Dryopteris cristata,Dryopteris cristata,Dryopteris_cristata,0
Plantae,Tracheophyta,P,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteridaceae,Dryopteris,Dryopteris,carthusiana,Dryopteris carthusiana,Dryopteris carthusiana,Dryopteris_carthusiana,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Cyperaceae,Cyperaceae,Eleocharis,Eleocharis,sp.,Eleocharis sp.,Eleocharis sp.,Eleocharis_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Elymus,Elymus,trachycaulus,Elymus trachycaulus,Elymus trachycaulus,Elymus_trachycaulus,0
Plantae,Tracheophyta,A,Magnoliopsida,Myrtales,Onagraceae,Onagraceae,Epilobium,Epilobium,sp.,Epilobium sp.,Epilobium sp.,Epilobium_sp.,0
Plantae,Tracheophyta,P,Polypodiopsida,Equisetales,Equisetaceae,Equisetaceae,Equisetum,Equisetum,arvense,Equisetum arvense,Equisetum arvense,Equisetum_arvense,0
Plantae,Tracheophyta,P,Polypodiopsida,Equisetales,Equisetaceae,Equisetaceae,Equisetum,Equisetum,hyemale,Equisetum hyemale,Equisetum hyemale,Equisetum_hyemale,0
Plantae,Tracheophyta,P,Polypodiopsida,Equisetales,Equisetaceae,Equisetaceae,Equisetum,Equisetum,laevigatum,Equisetum laevigatum,Equisetum laevigatum,Equisetum_laevigatum,0
Plantae,Tracheophyta,P,Polypodiopsida,Equisetales,Equisetaceae,Equisetaceae,Equisetum,Equisetum,sp.,Equisetum sp.,Equisetum sp.,Equisetum_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Erechtites,Erechtites,hieracifolia,Erechtites hieracifolia,Erechtites hieracifolia,Erechtites_hieracifolia,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Erigeron,Erigeron,sp.,Erigeron sp.,Erigeron sp.,Erigeron_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Eutrochium,Eutrochium,maculatum,Eutrochium maculatum,Eupatorium maculatum,Eutrochium_maculatum,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Ageratina,Ageratina,liebmannii,Ageratina liebmannii,Ageratina liebmannii,Ageratina_liebmannii,0
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbia,Euphorbia,sp.,Euphorbia sp.,Euphorbia sp.,Euphorbia_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Festuca,Festuca,sp.,Festuca sp.,Festuca sp.,Festuca_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Fragaria,Fragaria,sp.,Fragaria sp.,Fragaria sp.,Fragaria_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Galium,Galium,sp.,Galium sp.,Galium sp.,Galium_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Glyceria,Glyceria,sp.,Glyceria sp.,Glyceria sp.,Glyceria_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Gamochaeta,Gamochaeta,purpurea,Gamochaeta purpurea,Gnaphalium purpureum,Gamochaeta_purpurea,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Gnaphalium,Gnaphalium,sp.,Gnaphalium sp.,Gnaphalium sp.,Gnaphalium_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Hieracium,Hieracium,crassescens,Hieracium crassescens,Hieracium crassescens,Hieracium_crassescens,0
Plantae,Tracheophyta,P,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteridaceae,Gymnocarpium,Gymnocarpium,dryopteris,Gymnocarpium dryopteris,Gymnocarpium dryopteris,Gymnocarpium_dryopteris,0
Plantae,Tracheophyta,A,Magnoliopsida,Malvales,Cistaceae,Cistaceae,Crocanthemum,Crocanthemum,bicknellii,Crocanthemum bicknellii,Helianthemum bicknellii,Crocanthemum_bicknellii,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Helianthus,Helianthus,laetiflorus,Helianthus laetiflorus,Helianthus laetiflorus,Helianthus_laetiflorus,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Helianthus,Helianthus,sp.,Helianthus sp.,Helianthus sp.,Helianthus_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Hieracium,Pilosella,longipila,Pilosella longipila,Hieracium longipilum,Pilosella_longipila,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Hieracium,Hieracium,sp.,Hieracium sp.,Hieracium sp.,Hieracium_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Anthoxanthum,Hierochloe,odorata,Hierochloe odorata,Hierochloe odorata,Hierochloe_odorata,0
Plantae,Tracheophyta,A,Magnoliopsida,Aquifoliales,Aquifoliaceae,Aquifoliaceae,Ilex,Ilex,sp.,Ilex sp.,Ilex sp.,Ilex_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Juncaceae,Juncaceae,Juncus,Juncus,sp.,Juncus sp.,Juncus sp.,Juncus_sp.,0
Plantae,Tracheophyta,G,Pinopsida,Pinales,Cupressaceae,Cupressaceae,Juniperus,Juniperus,sp.,Juniperus sp.,Juniperus sp.,Juniperus_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Cinnagrostis,Koeleria,micrathera,Koeleria micrathera,Koeleria micrathera,Koeleria_micrathera,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Lactuca,Lactuca,sp.,Lactuca sp.,Lactuca sp.,Lactuca_sp.,0
