"","Species","NonGaps","removedPerGaps","removedMasking"
"Chenopodium_leptophyllum","Chenopodium_leptophyllum",715,FALSE,FALSE
"Heterotheca_villosa","Heterotheca_villosa",674,FALSE,FALSE
"Cicuta_bulbifera","Cicuta_bulbifera",672,FALSE,FALSE
"Circaea_lutetiana","Circaea_lutetiana",677,FALSE,FALSE
"Cirsium_arvense","Cirsium_arvense",684,FALSE,FALSE
"Cirsium_discolor","Cirsium_discolor",671,FALSE,FALSE
"Comandra_umbellata","Comandra_umbellata",703,FALSE,FALSE
"Convolvulus_arvensis","Convolvulus_arvensis",679,FALSE,FALSE
"Erigeron_canadensis","Erigeron_canadensis",693,FALSE,FALSE
"Cornus_alternifolia","Cornus_alternifolia",683,FALSE,FALSE
"Cornus_sericea","Cornus_sericea",689,FALSE,FALSE
"Corylus_americana","Corylus_americana",695,FALSE,FALSE
"Crepis_tectorum","Crepis_tectorum",675,FALSE,FALSE
"Lysimachia_borealis","Lysimachia_borealis",665,FALSE,FALSE
"Cyperus_filiculmis","Cyperus_filiculmis",648,FALSE,FALSE
"Cyperus_schweinitzii","Cyperus_schweinitzii",656,FALSE,FALSE
"Cyperus_strigosus","Cyperus_strigosus",653,FALSE,FALSE
"Danthonia_spicata","Danthonia_spicata",720,FALSE,FALSE
"Delphinium_carolinianum","Delphinium_carolinianum",683,FALSE,FALSE
"Desmodium_canadense","Desmodium_canadense",594,FALSE,FALSE
"Hylodesmum_glutinosum","Hylodesmum_glutinosum",682,FALSE,FALSE
"Digitaria_ischaemum","Digitaria_ischaemum",681,FALSE,FALSE
"Digitaria_sanguinalis","Digitaria_sanguinalis",674,FALSE,FALSE
"Elymus_canadensis","Elymus_canadensis",658,FALSE,FALSE
"Rhamnus_cathartica","Rhamnus_cathartica",677,FALSE,FALSE
"Chamaenerion_angustifolium","Chamaenerion_angustifolium",678,FALSE,FALSE
"Epilobium_ciliatum","Epilobium_ciliatum",646,FALSE,FALSE
"Epilobium_leptophyllum","Epilobium_leptophyllum",672,FALSE,FALSE
"Eragrostis_spectabilis","Eragrostis_spectabilis",683,FALSE,FALSE
"Bouteloua_dactyloides","Bouteloua_dactyloides",709,FALSE,FALSE
"Erigeron_annuus","Erigeron_annuus",732,FALSE,FALSE
"Erigeron_strigosus","Erigeron_strigosus",641,FALSE,FALSE
"Eutrochium_maculatum","Eutrochium_maculatum",654,FALSE,FALSE
"Eupatorium_perfoliatum","Eupatorium_perfoliatum",649,FALSE,FALSE
"Euphorbia_corollata","Euphorbia_corollata",649,FALSE,FALSE
"Euthamia_graminifolia","Euthamia_graminifolia",687,FALSE,FALSE
"Fragaria_vesca","Fragaria_vesca",699,FALSE,FALSE
"Fragaria_virginiana","Fragaria_virginiana",682,FALSE,FALSE
"Fraxinus_americana","Fraxinus_americana",621,FALSE,FALSE
"Fraxinus_nigra","Fraxinus_nigra",695,FALSE,FALSE
"Fraxinus_pennsylvanica","Fraxinus_pennsylvanica",675,FALSE,FALSE
"Galium_aparine","Galium_aparine",685,FALSE,FALSE
"Galium_boreale","Galium_boreale",678,FALSE,FALSE
"Galium_trifidum","Galium_trifidum",683,FALSE,FALSE
"Galium_triflorum","Galium_triflorum",674,FALSE,FALSE
"Gentiana_andrewsii","Gentiana_andrewsii",682,FALSE,FALSE
"Glechoma_hederacea","Glechoma_hederacea",678,FALSE,FALSE
"Glyceria_grandis","Glyceria_grandis",720,FALSE,FALSE
"Gamochaeta_purpurea","Gamochaeta_purpurea",648,FALSE,FALSE
"Gnaphalium_uliginosum","Gnaphalium_uliginosum",852,FALSE,FALSE
"Helenium_autumnale","Helenium_autumnale",678,FALSE,FALSE
"Helianthus_hirsutus","Helianthus_hirsutus",565,FALSE,FALSE
"Heliopsis_helianthoides","Heliopsis_helianthoides",693,FALSE,FALSE
"Heuchera_richardsonii","Heuchera_richardsonii",665,FALSE,FALSE
"Pilosella_aurantiaca","Pilosella_aurantiaca",681,FALSE,FALSE
"Hieracium_umbellatum","Hieracium_umbellatum",692,FALSE,FALSE
"Hieracium_longipilum","Hieracium_longipilum",620,FALSE,FALSE
