"","Species","NonGaps","removedPerGaps","removedMasking"
"Chamaecrista_fasciculata","Chamaecrista_fasciculata",553,FALSE,FALSE
"Ceanothus_americanus","Ceanothus_americanus",552,FALSE,FALSE
"Celastrus_scandens","Celastrus_scandens",552,FALSE,FALSE
"Cenchrus_longispinus","Cenchrus_longispinus",553,FALSE,FALSE
"Chamaedaphne_calyculata","Chamaedaphne_calyculata",553,FALSE,FALSE
"Chenopodium_album","Chenopodium_album",566,FALSE,FALSE
"Chenopodiastrum_hybridum","Chenopodiastrum_hybridum",523,FALSE,FALSE
"Chenopodium_leptophyllum","Chenopodium_leptophyllum",552,FALSE,FALSE
"Heterotheca_villosa","Heterotheca_villosa",534,FALSE,FALSE
"Cicuta_bulbifera","Cicuta_bulbifera",552,FALSE,FALSE
"Circaea_lutetiana","Circaea_lutetiana",542,FALSE,FALSE
"Cirsium_arvense","Cirsium_arvense",525,FALSE,FALSE
"Cirsium_discolor","Cirsium_discolor",528,FALSE,FALSE
"Comandra_umbellata","Comandra_umbellata",552,FALSE,FALSE
"Convolvulus_arvensis","Convolvulus_arvensis",571,FALSE,FALSE
"Erigeron_canadensis","Erigeron_canadensis",583,FALSE,FALSE
"Pilosella_aurantiaca","Pilosella_aurantiaca",607,FALSE,FALSE
"Coreopsis_palmata","Coreopsis_palmata",549,FALSE,FALSE
"Cornus_alternifolia","Cornus_alternifolia",553,FALSE,FALSE
"Cornus_sericea","Cornus_sericea",552,FALSE,FALSE
"Corylus_americana","Corylus_americana",552,FALSE,FALSE
"Crepis_tectorum","Crepis_tectorum",552,FALSE,FALSE
"Parthenocissus_inserta","Parthenocissus_inserta",552,FALSE,FALSE
"Cyperus_filiculmis","Cyperus_filiculmis",556,FALSE,FALSE
"Cyperus_schweinitzii","Cyperus_schweinitzii",552,FALSE,FALSE
"Cyperus_strigosus","Cyperus_strigosus",498,FALSE,FALSE
"Danthonia_spicata","Danthonia_spicata",603,FALSE,FALSE
"Delphinium_carolinianum","Delphinium_carolinianum",552,FALSE,FALSE
"Desmodium_canadense","Desmodium_canadense",549,FALSE,FALSE
"Hylodesmum_glutinosum","Hylodesmum_glutinosum",552,FALSE,FALSE
"Digitaria_sanguinalis","Digitaria_sanguinalis",553,FALSE,FALSE
"Dulichium_arundinaceum","Dulichium_arundinaceum",553,FALSE,FALSE
"Elymus_canadensis","Elymus_canadensis",603,FALSE,FALSE
"Elymus_violaceus","Elymus_violaceus",603,FALSE,FALSE
"Chamaenerion_angustifolium","Chamaenerion_angustifolium",569,FALSE,FALSE
"Epilobium_ciliatum","Epilobium_ciliatum",553,FALSE,FALSE
"Cenchrus_americanus","Cenchrus_americanus",567,FALSE,FALSE
"Epilobium_leptophyllum","Epilobium_leptophyllum",552,FALSE,FALSE
"Eragrostis_spectabilis","Eragrostis_spectabilis",549,FALSE,FALSE
"Eragrostis_trichodes","Eragrostis_trichodes",549,FALSE,FALSE
"Erechtites_hieraciifolius","Erechtites_hieraciifolius",549,FALSE,FALSE
"Erigeron_annuus","Erigeron_annuus",566,FALSE,FALSE
"Eupatorium_perfoliatum","Eupatorium_perfoliatum",529,FALSE,FALSE
"Euphorbia_corollata","Euphorbia_corollata",553,FALSE,FALSE
"Euphorbia_geyeri","Euphorbia_geyeri",552,FALSE,FALSE
"Euphorbia_glyptosperma","Euphorbia_glyptosperma",552,FALSE,FALSE
"Euthamia_graminifolia","Euthamia_graminifolia",545,FALSE,FALSE
"Festuca_rubra","Festuca_rubra",568,FALSE,FALSE
"Fragaria_vesca","Fragaria_vesca",578,FALSE,FALSE
"Fragaria_virginiana","Fragaria_virginiana",549,FALSE,FALSE
"Fraxinus_americana","Fraxinus_americana",553,FALSE,FALSE
"Fraxinus_nigra","Fraxinus_nigra",553,FALSE,FALSE
"Fraxinus_pennsylvanica","Fraxinus_pennsylvanica",549,FALSE,FALSE
"Galium_aparine","Galium_aparine",569,FALSE,FALSE
"Galium_boreale","Galium_boreale",579,FALSE,FALSE
"Gentiana_andrewsii","Gentiana_andrewsii",545,FALSE,FALSE
"Geranium_maculatum","Geranium_maculatum",553,FALSE,FALSE
"Glechoma_hederacea","Glechoma_hederacea",549,FALSE,FALSE
"Glyceria_grandis","Glyceria_grandis",603,FALSE,FALSE
"Gamochaeta_purpurea","Gamochaeta_purpurea",528,FALSE,FALSE
"Gnaphalium_uliginosum","Gnaphalium_uliginosum",552,FALSE,FALSE
"Platanthera_lacera","Platanthera_lacera",552,FALSE,FALSE
"Hackelia_deflexa","Hackelia_deflexa",527,FALSE,FALSE
"Hedeoma_hispida","Hedeoma_hispida",552,FALSE,FALSE
"Helenium_autumnale","Helenium_autumnale",552,FALSE,FALSE
"Helianthus_giganteus","Helianthus_giganteus",552,FALSE,FALSE
"Helianthus_hirsutus","Helianthus_hirsutus",552,FALSE,FALSE
"Helianthus_petiolaris","Helianthus_petiolaris",549,FALSE,FALSE
"Heliopsis_helianthoides","Heliopsis_helianthoides",549,FALSE,FALSE
"Heuchera_richardsonii","Heuchera_richardsonii",552,FALSE,FALSE
"Bouteloua_dactyloides","Bouteloua_dactyloides",607,FALSE,FALSE
"Hieracium_longipilum","Hieracium_longipilum",549,FALSE,FALSE
"Anthoxanthum_nitens","Anthoxanthum_nitens",609,FALSE,FALSE
"Houstonia_longifolia","Houstonia_longifolia",553,FALSE,FALSE
"Hypericum_majus","Hypericum_majus",552,FALSE,FALSE
"Hypoxis_hirsuta","Hypoxis_hirsuta",549,FALSE,FALSE
"Ilex_verticillata","Ilex_verticillata",530,FALSE,FALSE
"Impatiens_capensis","Impatiens_capensis",549,FALSE,FALSE
"Iris_versicolor","Iris_versicolor",549,FALSE,FALSE
"Juncus_tenuis","Juncus_tenuis",552,FALSE,FALSE
"Juniperus_communis","Juniperus_communis",646,FALSE,FALSE
"Juniperus_virginiana","Juniperus_virginiana",549,FALSE,FALSE
"Krigia_biflora","Krigia_biflora",552,FALSE,FALSE
"Lactuca_biennis","Lactuca_biennis",553,FALSE,FALSE
"Lactuca_canadensis","Lactuca_canadensis",553,FALSE,FALSE
"Lactuca_serriola","Lactuca_serriola",569,FALSE,FALSE
"Larix_laricina","Larix_laricina",552,FALSE,FALSE
"Lathyrus_ochroleucus","Lathyrus_ochroleucus",552,FALSE,FALSE
"Lathyrus_venosus","Lathyrus_venosus",549,FALSE,FALSE
"Lechea_stricta","Lechea_stricta",549,FALSE,FALSE
"Leersia_oryzoides","Leersia_oryzoides",549,FALSE,FALSE
"Lepidium_densiflorum","Lepidium_densiflorum",552,FALSE,FALSE
"Lepidium_virginicum","Lepidium_virginicum",553,FALSE,FALSE
"Digitaria_cognata","Digitaria_cognata",549,FALSE,FALSE
"Lespedeza_capitata","Lespedeza_capitata",552,FALSE,FALSE
"Liatris_aspera","Liatris_aspera",522,FALSE,FALSE
"Liatris_ligulistylis","Liatris_ligulistylis",552,FALSE,FALSE
"Liatris_pycnostachya","Liatris_pycnostachya",549,FALSE,FALSE
"Linaria_vulgaris","Linaria_vulgaris",569,FALSE,FALSE
"Lithospermum_canescens","Lithospermum_canescens",552,FALSE,FALSE
"Lithospermum_carolinense","Lithospermum_carolinense",552,FALSE,FALSE
"Lobelia_siphilitica","Lobelia_siphilitica",553,FALSE,FALSE
"Lobelia_spicata","Lobelia_spicata",552,FALSE,FALSE
"Lolium_multiflorum","Lolium_multiflorum",547,FALSE,FALSE
"Lonicera_dioica","Lonicera_dioica",552,FALSE,FALSE
"Lonicera_tatarica","Lonicera_tatarica",599,FALSE,FALSE
"Lonicera_morrowii","Lonicera_morrowii",552,FALSE,FALSE
"Ludwigia_polycarpa","Ludwigia_polycarpa",504,FALSE,FALSE
"Lupinus_perennis","Lupinus_perennis",549,FALSE,FALSE
"Lycopus_americanus","Lycopus_americanus",553,FALSE,FALSE
"Lycopus_uniflorus","Lycopus_uniflorus",553,FALSE,FALSE
"Lysimachia_ciliata","Lysimachia_ciliata",553,FALSE,FALSE
"Lysimachia_thyrsiflora","Lysimachia_thyrsiflora",542,FALSE,FALSE
"Medicago_lupulina","Medicago_lupulina",553,FALSE,FALSE
"Medicago_sativa","Medicago_sativa",572,FALSE,FALSE
"Melilotus_officinalis","Melilotus_officinalis",565,FALSE,FALSE
"Mimulus_ringens","Mimulus_ringens",552,FALSE,FALSE
"Mirabilis_albida","Mirabilis_albida",552,FALSE,FALSE
"Mirabilis_nyctaginea","Mirabilis_nyctaginea",552,FALSE,FALSE
"Mollugo_verticillata","Mollugo_verticillata",549,FALSE,FALSE
"Monarda_fistulosa","Monarda_fistulosa",549,FALSE,FALSE
"Monarda_punctata","Monarda_punctata",549,FALSE,FALSE
"Muhlenbergia_racemosa","Muhlenbergia_racemosa",552,FALSE,FALSE
"Oenothera_biennis","Oenothera_biennis",561,FALSE,FALSE
"Oenothera_parviflora","Oenothera_parviflora",549,FALSE,FALSE
"Panicum_capillare","Panicum_capillare",603,FALSE,FALSE
"Dichanthelium_acuminatum","Dichanthelium_acuminatum",557,FALSE,FALSE
"Dichanthelium_oligosanthes","Dichanthelium_oligosanthes",561,FALSE,FALSE
"Panicum_virgatum","Panicum_virgatum",549,FALSE,FALSE
"Parietaria_pensylvanica","Parietaria_pensylvanica",552,FALSE,FALSE
"Parthenocissus_quinquefolia","Parthenocissus_quinquefolia",560,FALSE,FALSE
"Paspalum_setaceum","Paspalum_setaceum",561,FALSE,FALSE
"Pedicularis_canadensis","Pedicularis_canadensis",553,FALSE,FALSE
"Penstemon_digitalis","Penstemon_digitalis",551,FALSE,FALSE
"Penstemon_gracilis","Penstemon_gracilis",552,FALSE,FALSE
"Penthorum_sedoides","Penthorum_sedoides",551,FALSE,FALSE
"Dalea_purpurea","Dalea_purpurea",549,FALSE,FALSE
"Dalea_villosa","Dalea_villosa",542,FALSE,FALSE
"Phalaris_arundinacea","Phalaris_arundinacea",549,FALSE,FALSE
"Phleum_pratense","Phleum_pratense",547,FALSE,FALSE
"Phlox_paniculata","Phlox_paniculata",552,FALSE,FALSE
"Phryma_leptostachya","Phryma_leptostachya",570,FALSE,FALSE
"Physalis_pubescens","Physalis_pubescens",552,FALSE,FALSE
"Physalis_virginiana","Physalis_virginiana",549,FALSE,FALSE
"Pinus_banksiana","Pinus_banksiana",552,FALSE,FALSE
"Pinus_resinosa","Pinus_resinosa",552,FALSE,FALSE
"Pinus_strobus","Pinus_strobus",517,FALSE,FALSE
"Plantago_lanceolata","Plantago_lanceolata",553,FALSE,FALSE
"Poa_compressa","Poa_compressa",603,FALSE,FALSE
"Poa_palustris","Poa_palustris",651,FALSE,FALSE
"Polygala_sanguinea","Polygala_sanguinea",552,FALSE,FALSE
"Polygonatum_biflorum","Polygonatum_biflorum",547,FALSE,FALSE
"Persicaria_amphibia","Persicaria_amphibia",552,FALSE,FALSE
"Fallopia_convolvulus","Fallopia_convolvulus",569,FALSE,FALSE
"Persicaria_hydropiper","Persicaria_hydropiper",571,FALSE,FALSE
"Persicaria_lapathifolia","Persicaria_lapathifolia",564,FALSE,FALSE
"Persicaria_pensylvanica","Persicaria_pensylvanica",553,FALSE,FALSE
"Persicaria_maculosa","Persicaria_maculosa",487,FALSE,FALSE
"Persicaria_sagittata","Persicaria_sagittata",549,FALSE,FALSE
"Fallopia_scandens","Fallopia_scandens",552,FALSE,FALSE
"Polygonum_tenue","Polygonum_tenue",552,FALSE,FALSE
"Populus_balsamifera","Populus_balsamifera",552,FALSE,FALSE
"Populus_deltoides","Populus_deltoides",553,FALSE,FALSE
"Populus_grandidentata","Populus_grandidentata",552,FALSE,FALSE
"Populus_tremuloides","Populus_tremuloides",552,FALSE,FALSE
"Portulaca_oleracea","Portulaca_oleracea",571,FALSE,FALSE
"Potentilla_argentea","Potentilla_argentea",542,FALSE,FALSE
"Drymocallis_arguta","Drymocallis_arguta",553,FALSE,FALSE
"Potentilla_norvegica","Potentilla_norvegica",549,FALSE,FALSE
"Comarum_palustre","Comarum_palustre",549,FALSE,FALSE
"Potentilla_recta","Potentilla_recta",552,FALSE,FALSE
"Potentilla_simplex","Potentilla_simplex",553,FALSE,FALSE
"Nabalus_albus","Nabalus_albus",553,FALSE,FALSE
"Nabalus_racemosus","Nabalus_racemosus",549,FALSE,FALSE
"Prunus_americana","Prunus_americana",535,FALSE,FALSE
"Prunus_pensylvanica","Prunus_pensylvanica",552,FALSE,FALSE
"Prunus_pumila","Prunus_pumila",552,FALSE,FALSE
"Prunus_serotina","Prunus_serotina",574,FALSE,FALSE
"Prunus_virginiana","Prunus_virginiana",553,FALSE,FALSE
"Pycnanthemum_virginianum","Pycnanthemum_virginianum",553,FALSE,FALSE
"Pyrola_rotundifolia","Pyrola_rotundifolia",542,FALSE,FALSE
"Quercus_alba","Quercus_alba",553,FALSE,FALSE
"Quercus_petraea","Quercus_petraea",553,FALSE,FALSE
"Quercus_ellipsoidalis","Quercus_ellipsoidalis",552,FALSE,FALSE
"Quercus_macrocarpa","Quercus_macrocarpa",552,FALSE,FALSE
"Rhamnus_cathartica","Rhamnus_cathartica",552,FALSE,FALSE
"Frangula_alnus","Frangula_alnus",553,FALSE,FALSE
"Rhus_glabra","Rhus_glabra",549,FALSE,FALSE
"Toxicodendron_radicans","Toxicodendron_radicans",559,FALSE,FALSE
"Rhus_typhina","Rhus_typhina",552,FALSE,FALSE
"Ribes_hirtellum","Ribes_hirtellum",549,FALSE,FALSE
"Robinia_pseudoacacia","Robinia_pseudoacacia",572,FALSE,FALSE
"Rosa_arkansana","Rosa_arkansana",549,FALSE,FALSE
"Rosa_blanda","Rosa_blanda",552,FALSE,FALSE
"Rosa_carolina","Rosa_carolina",553,FALSE,FALSE
"Rubus_allegheniensis","Rubus_allegheniensis",552,FALSE,FALSE
"Rubus_flagellaris","Rubus_flagellaris",553,FALSE,FALSE
"Rubus_idaeus","Rubus_idaeus",599,FALSE,FALSE
"Rubus_occidentalis","Rubus_occidentalis",510,FALSE,FALSE
"Rubus_pubescens","Rubus_pubescens",552,FALSE,FALSE
"Rumex_acetosella","Rumex_acetosella",480,FALSE,FALSE
"Rumex_britannica","Rumex_britannica",552,FALSE,FALSE
"Salix_bebbiana","Salix_bebbiana",552,FALSE,FALSE
"Salix_discolor","Salix_discolor",552,FALSE,FALSE
"Salix_petiolaris","Salix_petiolaris",552,FALSE,FALSE
"Salix_interior","Salix_interior",552,FALSE,FALSE
"Salix_pedicellaris","Salix_pedicellaris",552,FALSE,FALSE
"Salix_pyrifolia","Salix_pyrifolia",549,FALSE,FALSE
"Salix_serissima","Salix_serissima",552,FALSE,FALSE
"Micranthes_pensylvanica","Micranthes_pensylvanica",552,FALSE,FALSE
"Schizachne_purpurascens","Schizachne_purpurascens",603,FALSE,FALSE
"Schizachyrium_scoparium","Schizachyrium_scoparium",561,FALSE,FALSE
"Scirpus_cyperinus","Scirpus_cyperinus",512,FALSE,FALSE
"Eleocharis_geniculata","Eleocharis_geniculata",552,FALSE,FALSE
"Scleria_triglomerata","Scleria_triglomerata",552,FALSE,FALSE
"Scutellaria_galericulata","Scutellaria_galericulata",552,FALSE,FALSE
"Scutellaria_lateriflora","Scutellaria_lateriflora",552,FALSE,FALSE
"Scutellaria_parvula","Scutellaria_parvula",607,FALSE,FALSE
"Secale_cereale","Secale_cereale",603,FALSE,FALSE
"Packera_aurea","Packera_aurea",553,FALSE,FALSE
"Packera_paupercula","Packera_paupercula",548,FALSE,FALSE
"Setaria_italica","Setaria_italica",588,FALSE,FALSE
"Setaria_viridis","Setaria_viridis",571,FALSE,FALSE
"Silene_antirrhina","Silene_antirrhina",556,FALSE,FALSE
"Sisymbrium_altissimum","Sisymbrium_altissimum",516,FALSE,FALSE
"Sisyrinchium_campestre","Sisyrinchium_campestre",549,FALSE,FALSE
"Maianthemum_racemosum","Maianthemum_racemosum",549,FALSE,FALSE
"Maianthemum_stellatum","Maianthemum_stellatum",552,FALSE,FALSE
"Smilax_herbacea","Smilax_herbacea",549,FALSE,FALSE
"Solanum_americanum","Solanum_americanum",561,FALSE,FALSE
"Solanum_dulcamara","Solanum_dulcamara",553,FALSE,FALSE
"Solanum_nigrum","Solanum_nigrum",502,FALSE,FALSE
"Solidago_altissima","Solidago_altissima",552,FALSE,FALSE
"Solidago_canadensis","Solidago_canadensis",570,FALSE,FALSE
"Solidago_gigantea","Solidago_gigantea",549,FALSE,FALSE
"Solidago_juncea","Solidago_juncea",553,FALSE,FALSE
"Solidago_missouriensis","Solidago_missouriensis",552,FALSE,FALSE
"Solidago_nemoralis","Solidago_nemoralis",549,FALSE,FALSE
"Solidago_rigida","Solidago_rigida",552,FALSE,FALSE
"Solidago_speciosa","Solidago_speciosa",552,FALSE,FALSE
"Sonchus_arvensis","Sonchus_arvensis",580,FALSE,FALSE
"Sorghastrum_nutans","Sorghastrum_nutans",517,FALSE,FALSE
"Sporobolus_michauxianus","Sporobolus_michauxianus",603,FALSE,FALSE
