"","Species","NonGaps","removedPerGaps","removedMasking"
"Spiraea_alba","Spiraea_alba",324,FALSE,FALSE
"Galium_aparine","Galium_aparine",352,FALSE,FALSE
"Galium_boreale","Galium_boreale",352,FALSE,FALSE
"Galium_trifidum","Galium_trifidum",352,FALSE,FALSE
"Glechoma_hederacea","Glechoma_hederacea",348,FALSE,FALSE
"Gamochaeta_purpurea","Gamochaeta_purpurea",324,FALSE,FALSE
"Gnaphalium_uliginosum","Gnaphalium_uliginosum",439,FALSE,FALSE
"Hackelia_deflexa","Hackelia_deflexa",458,FALSE,FALSE
"Helenium_autumnale","Helenium_autumnale",587,FALSE,FALSE
"Helianthus_giganteus","Helianthus_giganteus",353,FALSE,FALSE
"Palustricodon_aparinoides","Palustricodon_aparinoides",599,FALSE,FALSE
"Hieracium_umbellatum","Hieracium_umbellatum",309,FALSE,FALSE
"Hieracium_longipilum","Hieracium_longipilum",309,FALSE,FALSE
"Anthoxanthum_nitens","Anthoxanthum_nitens",498,FALSE,FALSE
"Houstonia_longifolia","Houstonia_longifolia",261,FALSE,FALSE
"Impatiens_capensis","Impatiens_capensis",319,FALSE,FALSE
"Iris_versicolor","Iris_versicolor",452,FALSE,FALSE
"Juncus_tenuis","Juncus_tenuis",316,FALSE,FALSE
"Juniperus_virginiana","Juniperus_virginiana",415,FALSE,FALSE
"Lactuca_canadensis","Lactuca_canadensis",540,FALSE,FALSE
"Lactuca_serriola","Lactuca_serriola",508,FALSE,FALSE
"Lathyrus_venosus","Lathyrus_venosus",413,FALSE,FALSE
"Leersia_oryzoides","Leersia_oryzoides",329,FALSE,FALSE
"Lepidium_densiflorum","Lepidium_densiflorum",357,FALSE,FALSE
"Lepidium_virginicum","Lepidium_virginicum",397,FALSE,FALSE
"Lespedeza_capitata","Lespedeza_capitata",361,FALSE,FALSE
"Lithospermum_canescens","Lithospermum_canescens",470,FALSE,FALSE
"Lithospermum_carolinense","Lithospermum_carolinense",316,FALSE,FALSE
"Lithospermum_caroliniense","Lithospermum_caroliniense",283,FALSE,FALSE
"Lolium_multiflorum","Lolium_multiflorum",378,FALSE,FALSE
"Lonicera_tatarica","Lonicera_tatarica",374,FALSE,FALSE
"Lupinus_perennis","Lupinus_perennis",354,FALSE,FALSE
"Silene_latifolia","Silene_latifolia",572,FALSE,FALSE
"Lycopus_americanus","Lycopus_americanus",393,FALSE,FALSE
"Maianthemum_canadense","Maianthemum_canadense",502,FALSE,FALSE
"Medicago_lupulina","Medicago_lupulina",316,FALSE,FALSE
"Melilotus_officinalis","Melilotus_officinalis",314,FALSE,FALSE
"Mimulus_ringens","Mimulus_ringens",504,FALSE,FALSE
"Mirabilis_albida","Mirabilis_albida",352,FALSE,FALSE
"Mollugo_verticillata","Mollugo_verticillata",525,FALSE,FALSE
"Monarda_fistulosa","Monarda_fistulosa",308,FALSE,FALSE
"Mosla_dianthera","Mosla_dianthera",444,FALSE,FALSE
"Oenothera_biennis","Oenothera_biennis",497,FALSE,FALSE
"Oenothera_rhombipetala","Oenothera_rhombipetala",484,FALSE,FALSE
"Oxalis_stricta","Oxalis_stricta",470,FALSE,FALSE
"Panicum_capillare","Panicum_capillare",350,FALSE,FALSE
"Dichanthelium_acuminatum","Dichanthelium_acuminatum",389,FALSE,FALSE
"Panicum_miliaceum","Panicum_miliaceum",350,FALSE,FALSE
"Dichanthelium_oligosanthes","Dichanthelium_oligosanthes",389,FALSE,FALSE
"Panicum_virgatum","Panicum_virgatum",389,FALSE,FALSE
"Parthenocissus_quinquefolia","Parthenocissus_quinquefolia",333,FALSE,FALSE
"Penstemon_gracilis","Penstemon_gracilis",485,FALSE,FALSE
"Phalaris_arundinacea","Phalaris_arundinacea",527,FALSE,FALSE
"Phlox_pilosa","Phlox_pilosa",543,FALSE,FALSE
"Phryma_leptostachya","Phryma_leptostachya",467,FALSE,FALSE
"Physalis_pubescens","Physalis_pubescens",489,FALSE,FALSE
"Physalis_virginiana","Physalis_virginiana",534,FALSE,FALSE
"Pinus_strobus","Pinus_strobus",301,FALSE,FALSE
"Plantago_lanceolata","Plantago_lanceolata",368,FALSE,FALSE
"Plantago_major","Plantago_major",476,FALSE,FALSE
"Poa_pratensis","Poa_pratensis",365,FALSE,FALSE
"Polygala_polygama","Polygala_polygama",342,FALSE,FALSE
"Polygala_sanguinea","Polygala_sanguinea",342,FALSE,FALSE
"Polygonella_articulata","Polygonella_articulata",442,FALSE,FALSE
"Persicaria_amphibia","Persicaria_amphibia",453,FALSE,FALSE
"Cenchrus_americanus","Cenchrus_americanus",312,FALSE,FALSE
"Fallopia_convolvulus","Fallopia_convolvulus",483,FALSE,FALSE
"Persicaria_hydropiper","Persicaria_hydropiper",450,FALSE,FALSE
"Persicaria_pensylvanica","Persicaria_pensylvanica",477,FALSE,FALSE
"Persicaria_maculosa","Persicaria_maculosa",473,FALSE,FALSE
"Persicaria_sagittata","Persicaria_sagittata",477,FALSE,FALSE
"Fallopia_scandens","Fallopia_scandens",476,FALSE,FALSE
"Populus_balsamifera","Populus_balsamifera",336,FALSE,FALSE
"Populus_deltoides","Populus_deltoides",512,FALSE,FALSE
"Portulaca_oleracea","Portulaca_oleracea",327,FALSE,FALSE
"Potentilla_argentea","Potentilla_argentea",297,FALSE,FALSE
"Pilosella_aurantiaca","Pilosella_aurantiaca",511,FALSE,FALSE
"Comarum_palustre","Comarum_palustre",319,FALSE,FALSE
"Prunus_americana","Prunus_americana",322,FALSE,FALSE
"Prunus_serotina","Prunus_serotina",431,FALSE,FALSE
"Pyrola_rotundifolia","Pyrola_rotundifolia",469,FALSE,FALSE
"Malus_domestica","Malus_domestica",357,FALSE,FALSE
"Quercus_alba","Quercus_alba",218,FALSE,FALSE
"Maianthemum_racemosum","Maianthemum_racemosum",521,FALSE,FALSE
"Rhus_glabra","Rhus_glabra",527,FALSE,FALSE
"Toxicodendron_radicans","Toxicodendron_radicans",510,FALSE,FALSE
"Rhus_typhina","Rhus_typhina",527,FALSE,FALSE
"Robinia_pseudoacacia","Robinia_pseudoacacia",370,FALSE,FALSE
"Rosa_arkansana","Rosa_arkansana",357,FALSE,FALSE
"Rubus_occidentalis","Rubus_occidentalis",543,FALSE,FALSE
"Rudbeckia_hirta","Rudbeckia_hirta",372,FALSE,FALSE
"Rumex_acetosella","Rumex_acetosella",310,FALSE,FALSE
"Salix_bebbiana","Salix_bebbiana",339,FALSE,FALSE
"Salsola_kali","Salsola_kali",323,FALSE,FALSE
"Micranthes_pensylvanica","Micranthes_pensylvanica",539,FALSE,FALSE
"Schizachyrium_scoparium","Schizachyrium_scoparium",415,FALSE,FALSE
"Scutellaria_galericulata","Scutellaria_galericulata",546,FALSE,FALSE
"Secale_cereale","Secale_cereale",333,FALSE,FALSE
"Packera_aurea","Packera_aurea",524,FALSE,FALSE
"Setaria_italica","Setaria_italica",367,FALSE,FALSE
"Setaria_viridis","Setaria_viridis",470,FALSE,FALSE
"Sisymbrium_altissimum","Sisymbrium_altissimum",260,FALSE,FALSE
"Maianthemum_stellatum","Maianthemum_stellatum",502,FALSE,FALSE
"Smilax_herbacea","Smilax_herbacea",523,FALSE,FALSE
"Solanum_americanum","Solanum_americanum",321,FALSE,FALSE
"Solanum_dulcamara","Solanum_dulcamara",361,FALSE,FALSE
"Solanum_nigrum","Solanum_nigrum",344,FALSE,FALSE
"Solidago_gigantea","Solidago_gigantea",506,FALSE,FALSE
"Solidago_missouriensis","Solidago_missouriensis",356,FALSE,FALSE
"Lysimachia_borealis","Lysimachia_borealis",514,FALSE,FALSE
"Parthenocissus_inserta","Parthenocissus_inserta",531,FALSE,FALSE
"Sporobolus_cryptandrus","Sporobolus_cryptandrus",308,FALSE,FALSE
"Stachys_palustris","Stachys_palustris",321,FALSE,FALSE
"Stachys_tenuifolia","Stachys_tenuifolia",307,FALSE,FALSE
"Stellaria_longifolia","Stellaria_longifolia",355,FALSE,FALSE
"Stellaria_media","Stellaria_media",466,FALSE,FALSE
"Hesperostipa_comata","Hesperostipa_comata",348,FALSE,FALSE
"Symphoricarpos_occidentalis","Symphoricarpos_occidentalis",356,FALSE,FALSE
"Thalictrum_dasycarpum","Thalictrum_dasycarpum",511,FALSE,FALSE
