plant_id,species,genus,family,order,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
366,Monarda fistulosa,Monarda,Lamiaceae,Lamiales,0.0957,0.0988,0.0973,0.0957,0.0966,0.3109,0.0918,0.0849,0.0783
367,Pycnanthemum virginianum,Pycnanthemum,Lamiaceae,Lamiales,0.7218,0.6981,0.7099,0.5391,0.0974,0.5961,0.87,0.9428,0.6312
368,Monarda punctata,Monarda,Lamiaceae,Lamiales,0.0974,0.0962,0.0994,0.0947,0.4643,0.316,0.0867,0.0838,0.0774
369,Hedeoma hispida,Hedeoma,Lamiaceae,Lamiales,0.0969,0.0977,0.0954,0.0948,0.094,0.3153,0.0868,0.0861,0.0777
370,Aralia nudicaulis,Aralia,Araliaceae,Apiales,0.7541,0.0986,0.0952,0.0963,0.0987,0.714,0.8935,0.9858,0.6677
371,Cicuta bulbifera,Cicuta,Apiaceae,Apiales,0.6803,0.7042,0.7154,0.0958,0.0943,0.6832,0.8464,0.9129,0.6014
372,Zizia aptera,Zizia,Apiaceae,Apiales,0.097,0.0945,0.5837,0.4275,0.0961,0.6089,0.6892,0.7546,0.511
373,Zizia aurea,Zizia,Apiaceae,Apiales,0.5457,0.0976,0.0977,0.0963,0.0977,0.4739,0.0892,0.0873,0.0826
374,Viburnum lentago,Viburnum,Adoxaceae,Dipsacales,0.0978,0.098,0.0971,0.0952,0.0967,1.0494,1.5299,1.6982,1.1376
375,Symphoricarpos occidentalis,Symphoricarpos,Caprifoliaceae,Dipsacales,0.7569,0.7136,0.7353,0.0967,0.0973,1.0962,1.5774,1.7502,1.1596
376,Lonicera dioica,Lonicera,Caprifoliaceae,Dipsacales,0.7685,0.5813,0.5941,0.0972,0.0954,1.0866,1.5393,1.7329,1.1556
377,Lonicera morrowii,Lonicera,Caprifoliaceae,Dipsacales,0.7605,0.0981,0.0994,0.0954,0.0984,1.0669,1.4894,1.6804,1.1184
378,Lonicera tatarica,Lonicera,Caprifoliaceae,Dipsacales,0.7569,0.0971,0.0967,0.0957,0.0974,1.0605,1.4901,1.6773,1.115
379,Campanula aparinoides,Campanula,Campanulaceae,Asterales,0.5653,0.5824,0.5846,0.0958,0.4611,0.4818,0.7747,0.8416,0.5493
380,Campanula rotundifolia,Campanula,Campanulaceae,Asterales,0.0965,0.0975,0.097,0.0938,0.0959,0.0957,0.5649,0.6112,0.3564
381,Lobelia spicata,Lobelia,Campanulaceae,Asterales,0.0986,0.5514,0.0969,0.096,0.095,0.3184,0.0864,0.084,0.0797
382,Lobelia siphilitica,Lobelia,Campanulaceae,Asterales,0.5516,0.0954,0.5892,0.0948,0.0963,0.4874,0.6762,0.7402,0.4925
383,Bouteloua dactyloides,Bouteloua,Poaceae,Poales,0.5436,0.0963,0.0977,0.0944,0.0961,0.4753,0.6585,0.7278,0.4901
384,Bidens trichosperma,Bidens,Asteraceae,Asterales,0.555,0.5883,0.5855,0.0961,0.0953,0.4888,0.6999,0.7519,0.4984
385,Bidens cernua,Bidens,Asteraceae,Asterales,0.0986,0.5462,0.0966,0.3951,0.0959,0.291,0.0859,0.0837,0.0779
386,Bidens tripartita,Bidens,Asteraceae,Asterales,0.0957,0.0957,0.0959,0.0949,0.095,0.2943,0.0893,0.0849,0.0769
387,Cirsium arvense,Cirsium,Asteraceae,Asterales,0.0984,0.0972,0.5673,0.094,0.0959,0.0958,0.353,0.2973,0.0955
388,Cirsium discolor,Cirsium,Asteraceae,Asterales,0.0951,0.5352,0.095,0.0948,0.0966,0.0917,0.303,0.2475,0.0931
389,Hieracium crassescens,Hieracium,Asteraceae,Asterales,0.5886,0.5818,0.5875,0.4493,0.4663,0.4826,0.7518,0.8114,0.5356
390,Hieracium umbellatum,Hieracium,Asteraceae,Asterales,0.0973,0.0979,0.0969,0.0927,0.4505,0.0923,0.2993,0.2411,0.0957
391,Hieracium longipilum,Hieracium,Asteraceae,Asterales,0.5588,0.0976,0.5714,0.4354,0.097,0.4702,0.7508,0.8197,0.5397
392,Lactuca serriola,Lactuca,Asteraceae,Asterales,0.5313,0.0962,0.0992,0.0962,0.0965,0.3064,0.087,0.0844,0.0773
393,Lactuca biennis,Lactuca,Asteraceae,Asterales,0.5547,0.0951,0.0985,0.0932,0.0943,0.4858,0.6502,0.7133,0.4827
394,Lactuca canadensis,Lactuca,Asteraceae,Asterales,0.0985,0.0958,0.0964,0.0936,0.451,0.2944,0.0875,0.0859,0.0779
395,Krigia biflora,Krigia,Asteraceae,Asterales,0.71,0.7013,0.7324,0.5618,0.5723,0.5825,0.8658,0.9478,0.6314
396,Erechtites hieracifolia,Erechtites,Asteraceae,Asterales,0.6522,0.7038,0.7182,0.0948,0.0932,0.5663,0.8598,0.9308,0.6126
397,Vernonia fasciculata,Vernonia,Asteraceae,Asterales,0.6935,0.7227,0.7184,0.5285,0.096,0.5728,0.8549,0.9388,0.6278
398,Nabalus racemosus,Nabalus,Asteraceae,Asterales,0.7075,0.5801,0.7184,0.5416,0.5731,0.5819,0.863,0.9351,0.6292
399,Nabalus albus,Nabalus,Asteraceae,Asterales,0.667,0.0979,0.6947,0.5424,0.5533,0.5629,0.8503,0.9357,0.6329
400,Sonchus arvensis,Sonchus,Asteraceae,Asterales,0.0965,0.662,0.096,0.095,0.0949,0.3306,0.0873,0.0847,0.0788
401,Crepis tectorum,Crepis,Asteraceae,Asterales,0.0965,0.0959,0.0943,0.0945,0.0964,0.3158,0.2251,0.0923,0.0825
402,Packera paupercula,Packera,Asteraceae,Asterales,0.0946,0.6437,0.0974,0.0942,0.0953,0.3111,0.0869,0.0844,0.0772
403,Packera aurea,Packera,Asteraceae,Asterales,0.5587,0.6972,0.5919,0.0979,0.0944,0.5026,0.6982,0.7551,0.4966
404,Coreopsis palmata,Coreopsis,Asteraceae,Asterales,0.0967,0.0978,0.0988,0.4662,0.0959,0.2975,0.0863,0.0836,0.0802
405,Eutrochium maculatum,Eutrochium,Asteraceae,Asterales,0.7034,0.6803,0.7278,0.5477,0.5545,0.5803,0.8383,0.9238,0.6251
406,Eupatorium perfoliatum,Eupatorium,Asteraceae,Asterales,0.0964,0.0978,0.0965,0.0965,0.0967,0.3724,0.0877,0.089,0.1494
407,Liatris aspera,Liatris,Asteraceae,Asterales,0.5642,0.0971,0.0967,0.0966,0.0958,0.304,0.0862,0.0852,0.0768
408,Liatris pycnostachya,Liatris,Asteraceae,Asterales,0.0971,0.5482,0.0991,0.0941,0.0944,0.3054,0.0865,0.0857,0.0769
409,Liatris ligulistylis,Liatris,Asteraceae,Asterales,0.6271,0.5829,0.6006,0.4355,0.0968,0.5087,0.7084,0.7741,0.5217
410,Helenium autumnale,Helenium,Asteraceae,Asterales,0.0975,0.7196,0.0975,0.0929,0.5633,0.0932,0.0896,0.0913,0.1474
411,Rudbeckia hirta,Rudbeckia,Asteraceae,Asterales,0.0978,0.6494,0.0977,0.0933,0.0963,0.0926,0.2968,0.2388,0.0917
412,Ratibida pinnata,Ratibida,Asteraceae,Asterales,0.097,0.0967,0.6252,0.0956,0.0954,0.3201,0.0869,0.0878,0.0779
413,Heliopsis helianthoides,Heliopsis,Asteraceae,Asterales,0.0979,0.0956,0.094,0.0941,0.0959,0.2928,0.0876,0.0862,0.0786
414,Echinacea serotina,Echinacea,Asteraceae,Asterales,0.0969,0.0948,0.0966,0.4148,0.0957,0.5103,0.746,0.811,0.5567
415,Echinacea purpurea,Echinacea,Asteraceae,Asterales,0.0972,0.097,0.0974,0.0949,0.0942,0.4942,0.7499,0.8154,0.5449
416,Ambrosia psilostachya,Ambrosia,Asteraceae,Asterales,0.0953,0.098,0.0976,0.0961,0.0944,0.092,0.2723,0.2308,0.0927
417,Ambrosia artemisiifolia,Ambrosia,Asteraceae,Asterales,0.0966,0.0962,0.0969,0.0947,0.0945,0.2576,0.0883,0.0855,0.0778
418,Helianthus hirsutus,Helianthus,Asteraceae,Asterales,0.0971,0.0955,0.0967,0.0968,0.0951,0.3527,0.0884,0.0897,0.1539
419,Helianthus petiolaris,Helianthus,Asteraceae,Asterales,0.5597,0.5837,0.5901,0.0969,0.0958,0.5034,0.7025,0.7548,0.5051
420,Helianthus laetiflorus,Helianthus,Asteraceae,Asterales,0.0964,0.0968,0.0968,0.0964,0.4533,0.4571,0.642,0.6957,0.4696
421,Helianthus giganteus,Helianthus,Asteraceae,Asterales,0.5698,0.5855,0.6123,0.0949,0.0983,0.5116,0.713,0.7704,0.517
422,Artemisia ludoviciana,Artemisia,Asteraceae,Asterales,0.0961,0.0992,0.0947,0.0954,0.0952,0.2921,0.0867,0.0867,0.0777
423,Achillea millefolium,Achillea,Asteraceae,Asterales,0.0984,0.0963,0.0978,0.0938,0.0972,0.0935,0.2909,0.2314,0.0925
424,Gnaphalium uliginosum,Gnaphalium,Asteraceae,Asterales,0.0977,0.6488,0.0962,0.0929,0.0949,0.3316,0.0927,0.0882,0.0802
425,Gamochaeta purpurea,Gamochaeta,Asteraceae,Asterales,0.0987,0.6902,0.097,0.0949,0.0966,0.51,0.7662,0.8248,0.55
426,Antennaria plantaginifolia,Antennaria,Asteraceae,Asterales,0.5617,0.6311,0.5924,0.4441,0.0962,0.5391,0.8156,0.8876,0.5901
