"","species_names","kingdom","phylum","class","order","family","genus","species","originalSpeciesName","atpB.fasta","matK.fasta","ndhF.fasta","rbcL.fasta","trnL.fasta"
"37","Asclepias_exaltata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias exaltata","Asclepias_exaltata",0,1,0,1,0
"38","Asclepias_incarnata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias incarnata","Asclepias_incarnata",0,1,0,0,0
"39","Asclepias_ovalifolia","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias ovalifolia","Asclepias_ovalifolia",0,1,0,1,0
"40","Asclepias_syriaca","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","Asclepias_syriaca",1,1,0,1,1
"41","Asclepias_tuberosa","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias tuberosa","Asclepias_tuberosa",0,1,0,0,1
"42","Asclepias_verticillata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias verticillata","Asclepias_verticillata",1,1,1,1,0
"43","Asclepias_viridiflora","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Asclepias viridiflora","Asclepias_viridiflora",0,1,0,1,0
"44","Asparagus_officinalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Asparagus","Asparagus officinalis","Asparagus_officinalis",1,1,0,1,1
"45","Astragalus_canadensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Astragalus","Astragalus canadensis","Astragalus_canadensis",0,1,0,1,1
"46","Baptisia_alba","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Baptisia","Baptisia alba","Baptisia_alba",0,1,0,0,0
"47","Barbarea_vulgaris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Barbarea","Barbarea vulgaris","Barbarea_vulgaris",0,1,0,1,1
"48","Berteroa_incana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Berteroa","Berteroa incana","Berteroa_incana",0,1,1,1,1
"49","Betula_alleghaniensis","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula alleghaniensis","Betula_alleghaniensis",0,0,0,1,1
"50","Betula_papyrifera","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula papyrifera","Betula_papyrifera",0,1,0,1,0
"51","Betula_pumila","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula","Betula pumila","Betula_pumila",0,1,0,1,0
"52","Bidens_cernua","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens","Bidens cernua","Bidens_cernua",0,1,0,1,0
"53","Bidens_trichosperma","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens","Bidens trichosperma","Bidens_trichosperma",0,0,0,1,0
"54","Bidens_tripartita","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens","Bidens tripartita","Bidens_comosa",0,1,0,1,1
"55","Bidens_tripartita","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Bidens","Bidens tripartita","Bidens_tripartita",0,1,0,1,1
"56","Boechera_divaricarpa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Boechera","Boechera divaricarpa","Boechera_divaricarpa",0,0,0,1,1
"57","Bouteloua_aristidoides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bouteloua","Bouteloua aristidoides","Bouteloua_aristidoides",0,1,0,0,1
"58","Bouteloua_curtipendula","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bouteloua","Bouteloua curtipendula","Bouteloua_curtipendula",0,0,0,1,0
"59","Bouteloua_dactyloides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bouteloua","Bouteloua dactyloides","Bouteloua_dactyloides",0,0,1,0,1
"60","Bouteloua_dactyloides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bouteloua","Bouteloua dactyloides","Buchloe_dactyloides",0,0,1,0,1
"61","Bromus_ciliatus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus ciliatus","Bromus_ciliatus",0,1,0,1,1
"62","Bromus_inermis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus inermis","Bromus_inermis",1,1,1,1,1
"63","Bromus_kalmii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus kalmii","Bromus_kalmii",0,1,0,1,0
"64","Bromus_tectorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus tectorum","Bromus_tectorum",0,1,1,1,1
"65","Calamagrostis_canadensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","Calamagrostis canadensis","Calamagrostis_canadensis",1,0,0,1,0
"66","Calamagrostis_stricta","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Calamagrostis","Calamagrostis stricta","Calamagrostis_stricta",0,1,0,1,0
"67","Caltha_palustris","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Caltha","Caltha palustris","Caltha_palustris",1,1,1,1,1
"68","Campanula_aparinoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Campanula","Campanula aparinoides","Campanula_aparinoides",0,0,0,0,1
"69","Campanula_rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Campanula","Campanula rotundifolia","Campanula_rotundifolia",1,0,1,1,1
"70","Capsella_bursa-pastoris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Capsella","Capsella bursa-pastoris","Capsella_bursa-pastoris",0,1,0,1,0
"71","Carex_bebbii","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex bebbii","Carex_bebbii",0,1,0,1,0
"72","Carex_bicknellii","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex bicknellii","Carex_bicknellii",0,1,0,1,1
"73","Carex_canescens","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex canescens","Carex_canescens",0,1,0,1,1
"74","Carex_chordorrhiza","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex chordorrhiza","Carex_chordorrhiza",0,1,0,1,1
"75","Carex_comosa","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex comosa","Carex_comosa",0,0,0,1,0
"76","Carex_diandra","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex diandra","Carex_diandra",0,1,0,1,1
"77","Carex_disperma","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex disperma","Carex_disperma",0,1,0,1,1
"78","Carex_echinata","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex echinata","Carex_echinata",0,1,0,1,1
"79","Carex_foenea","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex foenea","Carex_foenea",0,1,0,1,0
"80","Carex_gracillima","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex gracillima","Carex_gracillima",0,1,0,1,1
"81","Carex_haydenii","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex haydenii","Carex_haydenii",0,1,0,1,0
"82","Carex_interior","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex interior","Carex_interior",0,1,0,1,1
"83","Carex_lacustris","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex lacustris","Carex_lacustris",0,1,0,1,0
"84","Carex_lasiocarpa","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex lasiocarpa","Carex_lasiocarpa",0,1,0,1,1
"85","Carex_oligosperma","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex oligosperma","Carex_oligosperma",0,1,0,1,1
"86","Carex_pensylvanica","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex pensylvanica","Carex_pensylvanica",0,1,0,1,1
"87","Carex_rostrata","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex rostrata","Carex_rostrata",0,1,0,1,1
"88","Carex_scoparia","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex scoparia","Carex_scoparia",0,1,0,1,0
"89","Carex_stricta","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex stricta","Carex_stricta",0,1,0,1,0
"90","Carex_vulpinoidea","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Carex","Carex vulpinoidea","Carex_vulpinoidea",0,1,1,1,1
"91","Ceanothus_americanus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Ceanothus","Ceanothus americanus","Ceanothus_americanus",0,1,1,1,0
"92","Celastrus_scandens","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Celastrus","Celastrus scandens","Celastrus_scandens",1,0,0,1,1
"93","Cenchrus_americanus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus americanus","Cenchrus_americanus",0,0,1,1,1
"94","Cenchrus_americanus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus americanus","Pennisetum_glaucum",0,0,1,1,1
"95","Cenchrus_longispinus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Cenchrus","Cenchrus longispinus","Cenchrus_longispinus",0,1,0,1,0
"96","Chamaecrista_fasciculata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Chamaecrista","Chamaecrista fasciculata","Chamaecrista_fasciculata",0,1,0,1,0
