"","MRCA","MaxAge","MinAge","taxonA","taxonB"
"167","417d1374570bb0215cf541c73c703c67",68.2754510000001,68.2754510000001,"Alnus_incana","Corylus_americana"
"168","370d2599b23019950cabb914e1b3010c",64.8589000000001,64.8589000000001,"Corylus_americana","Betula_papyrifera"
"169","ff5dae7312ee75152459a1d212f4f43a",39.6479000000001,39.6479000000001,"Betula_papyrifera","Betula_pumila"
"171","539ba251e629f0c8017a4e9ae2a4d510",11.7767010000002,11.7767010000002,"Quercus_alba","Quercus_petraea"
"172","257b92158ee8a1b94eb4f910dcffc020",2.84590900000018,2.84590900000018,"Quercus_alba","Quercus_macrocarpa"
"174","460eba83b826bc79ef7aec26a8417640",96.0749150000001,96.0749150000001,"Chamaecrista_fasciculata","Polygala_polygama"
"175","ac47b8011fabbcf9ace8c42be9cdaa24",77.9631890000002,77.9631890000002,"Chamaecrista_fasciculata","Hylodesmum_glutinosum"
"176","4c8ea1879f2b55f0ab795ebe709b04e0",63.5137990000001,63.5137990000001,"Hylodesmum_glutinosum","Amorpha_canescens"
"177","0bd12d982a9ef9882d0bc463899b2072",30.4470810000001,30.4470810000001,"Hylodesmum_glutinosum","Strophostyles_leiosperma"
"178","ce1241ee5ff1749d6ce39a4d8ba90445",18.2404270000001,18.2404270000001,"Hylodesmum_glutinosum","Lespedeza_capitata"
"187","683b7c39c8b6faf7fa64c04fab7d5407",49.4265230000001,49.4265230000001,"Robinia_pseudoacacia","Astragalus_canadensis"
"188","5c8a4a791e2ecfb3d945383466ed0dc5",32.2598610000001,32.2598610000001,"Astragalus_canadensis","Melilotus_officinalis"
"189","013796858d8d04d5c5542b8c581f48bd",18.5592440000001,18.5592440000001,"Melilotus_officinalis","Vicia_villosa"
"190","03fba6a1eb3c427caaf6ad8a1b19cf2b",14.7717010000001,14.7717010000001,"Melilotus_officinalis","Medicago_sativa"
"191","53d0838b333627421ccb769c94bc0524",0.917977000000121,0.917977000000121,"Melilotus_officinalis","Melilotus_albus"
"192","20a8f6d710f35d21ba31f0bbbaf47c3c",10.1115970000001,10.1115970000001,"Medicago_sativa","Medicago_lupulina"
"194","31efdf9982a14d544874515e2613f7d6",11.3603110000001,11.3603110000001,"Vicia_villosa","Lathyrus_venosus"
"195","bace1395d2087299c9b5500613a4c78c",10.7919180000001,10.7919180000001,"Vicia_villosa","Vicia_sativa"
"196","38107c8e6747dee33a6422da71e068ed",0.466650000000243,0.466650000000243,"Lathyrus_venosus","Lathyrus_ochroleucus"
"197","5aabedf711cd71116e71e4f846304b76",8.29312500000015,8.29312500000015,"Trifolium_pratense","Trifolium_hybridum"
"198","6dd9a1526dffaf65c168ffd8399c713c",5.31879400000014,5.31879400000014,"Trifolium_pratense","Trifolium_arvense"
"199","63ccf721782820ced357ab4aa7770a3a",5.92961200000013,5.92961200000013,"Trifolium_hybridum","Trifolium_repens"
"204","b38e3913d59c0e3d4a1ca47b9ff32fbf",10.4940460032003,10.4940460032003,"Euphorbia_geyeri","Euphorbia_corollata"
"206","d9ddae5d61ae06ff4d117b14c3256229",1.27650600320015,1.27650600320015,"Euphorbia_glyptosperma","Euphorbia_maculata"
"207","12ecda6b43108e2abeb6346794d8830a",94.3620570000001,94.3620570000001,"Populus_grandidentata","Viola_selkirkii"
"208","7c04ba6bc548146c8866cf743f646daa",38.0386640000001,38.0386640000001,"Populus_grandidentata","Populus_deltoides"
"209","0efd19195882e1c11b1bc453e6a831f3",1.9028320000001,1.9028320000001,"Populus_grandidentata","Populus_tremuloides"
"212","aadeb2f840f5153b63283ee0791869d1",7.34243400000008,7.34243400000008,"Salix_pyrifolia","Salix_pedicellaris"
"216","a62cb87b0413e9e06af002c4fbf60d1e",4.16621400000008,4.16621400000008,"Salix_humilis","Salix_interior"
"219","61a8019d77da77c6d8c0b940dfd1cdbf",11.2100660000002,11.2100660000002,"Viola_selkirkii","Viola_pedata"
"220","c5e968c4ab0edd5670e613efdf3802d7",4.59317400000009,4.59317400000009,"Viola_pedata","Viola_pedatifida"
"221","d30259ab315f7ce5f3a762536101ebb0",3.85781900000006,3.85781900000006,"Viola_pedata","Viola_sagittata"
"222","58b3f78c5a726730341b4da207ab3ac5",2.61744800000002,2.61744800000002,"Viola_pedatifida","Viola_macloskeyi"
"224","ec9096ebd22b6fdc5f806f65ce8b8152",116.993198,116.993198,"Geranium_maculatum","Circaea_lutetiana"
"227","e3fd22d6dd982dfb0c22ff295cd7a7dc",42.0711580000001,42.0711580000001,"Circaea_lutetiana","Oenothera_parviflora"
