"MRCA","MaxAge","MinAge","taxonA","taxonB","bootstrap"
"4e1be2de1ebc52cb5dded0662ac2d8b2",0.917975000399963,0.917975000399963,"Melilotus_albus","Melilotus_officinalis",1
"a3e9cca42564be1e158c720de4abeca7",10.1115950004,10.1115950004,"Medicago_lupulina","Medicago_sativa",1
"98e9c84ad307c7a4001fb38338232974",8.29312300039999,8.29312300039999,"Trifolium_repens","Trifolium_pratense",1
"425b8983921c662a1dc505c134ed9e33",5.92961000039998,5.92961000039998,"Trifolium_repens","Trifolium_hybridum",1
"4a1fc35c2cd34e0f798c1d0a0b0865f4",5.31879200039998,5.31879200039998,"Trifolium_pratense","Trifolium_arvense",1
"bd9edc907d5ece6d23ebccef8efdfc7a",11.3603090004,11.3603090004,"Vicia_villosa","Lathyrus_ochroleucus",1
"cc0564fa48988a194e58af23a1f8c3c5",10.7919160004,10.7919160004,"Vicia_villosa","Vicia_sativa",1
"9d60f2851fe1aa46e76a07b16822a554",0.466648000399971,0.466648000399971,"Lathyrus_ochroleucus","Lathyrus_venosus",1
"dbeba4ae627e015bc3aa68660ad01dc4",97.8795630004,97.8795630004,"Quercus_ellipsoidalis","Corylus_americana",1
"15163edde7191507f9264ce9d24138ea",11.7766990004,11.7766990004,"Quercus_ellipsoidalis","Quercus_alba",1
"5f7b3f946fa3371fff46bd1525ed1b0b",2.84590700039996,2.84590700039996,"Quercus_alba","Quercus_macrocarpa",1
"5631f3d77a79bc4952f5cee932a69d85",68.2754490004,68.2754490004,"Corylus_americana","Alnus_incana",1
"7f8d97805bfa3cd087c633e98bd976ef",64.8588980004,64.8588980004,"Corylus_americana","Betula_alleghaniensis",1
"637ac699ba7cbdb047b5e7354d2109c4",39.6478980004,39.6478980004,"Betula_alleghaniensis","Betula_pumila",1
"3cea6cd0b884c13ebeda0135dffd24c9",79.1706420004,79.1706420004,"Pilea_pumila","Ulmus_pumila",1
"06c95bb2de01ace7ce8845941e488a72",46.6991050004,46.6991050004,"Pilea_pumila","Parietaria_pensylvanica",1
"613d9a253b4b4b097dee2c9b1b4d9dc8",42.2078200004,42.2078200004,"Pilea_pumila","Urtica_dioica",1
"acbc1740897ab7fef73cb17fcebeb727",6.43605000039997,6.43605000039997,"Ulmus_pumila","Ulmus_americana",1
"31dd0a5110bb0f2eb4c58208467fa004",94.5611800004,94.5611800004,"Potentilla_simplex","Aronia_melanocarpa",1
"d82baccebfd6727116c1267a4724bbc3",85.0027880004,85.0027880004,"Potentilla_simplex","Rubus_flagellaris",1
"256ebd2ef55b3b994b2180d435ff26b0",82.0351800004,82.0351800004,"Potentilla_simplex","Rosa_carolina",1
"baee56cf2815293f2cbb24e5f66c4ca9",78.6817590004,78.6817590004,"Potentilla_simplex","Fragaria_vesca",1
"f769a944b0c8b7a7998bbc67b8c4ab17",68.6644280003999,68.6644280003999,"Potentilla_simplex","Potentilla_norvegica",1
"0d23bfa7a9d8764369ca6178dfda0174",58.5204710003999,58.5204710003999,"Potentilla_norvegica","Potentilla_recta",1
"cd2632db9f4c597a3c584ac494f8b133",60.2594980004,60.2594980004,"Fragaria_vesca","Comarum_palustre",1
"e684153b200263ab786157b8f5e7fc55",1.92449300039993,1.92449300039993,"Fragaria_vesca","Fragaria_virginiana",1
"63221f27529fdbc34b3923d8ca8145fe",63.2694860004,63.2694860004,"Rubus_flagellaris","Rubus_pubescens",1
"b774eab8f5b06a3557a9003e197f563c",57.0300280004,57.0300280004,"Rubus_flagellaris","Rubus_canadensis",1
"8eacd35d843de3c7c3f193fa733afceb",60.3258170004,60.3258170004,"Rubus_idaeus","Rubus_occidentalis",1
"b40c58f7b0c54c5a1d48feb6dce0c0ee",50.7332680004,50.7332680004,"Aronia_melanocarpa","Spiraea_tomentosa",1
"74486bd9ed60cbd4614ae73fc74cc823",11.0193690004,11.0193690004,"Aronia_melanocarpa","Amelanchier_interior",1
"b851338d1d70731aa8e7dde95c33062e",1.46771100039996,1.46771100039996,"Amelanchier_alnifolia","Amelanchier_sanguinea",1
"00c458427564df765a75e2a71b868fbc",26.5303040004,26.5303040004,"Prunus_virginiana","Prunus_pumila",1
"eacda0b1ddc2119e8eb0ddf37517eabe",23.3189470003999,23.3189470003999,"Prunus_virginiana","Prunus_serotina",1
"135b8f1d13a0c9632eb7b8d1d92cbac2",18.0784950003999,18.0784950003999,"Prunus_pumila","Prunus_americana",1
"543ed0a0d185fadf80d4f55d2f5a8904",10.4940440036,10.4940440036,"Euphorbia_corollata","Euphorbia_geyeri",1
"6d166826b0ed2b8e03777115fe497711",1.2765040036,1.2765040036,"Euphorbia_glyptosperma","Euphorbia_maculata",1
"0f1dd6bfa466ab4b715a214202ce9e4b",94.3620550004,94.3620550004,"Viola_selkirkii","Populus_tremuloides",1
"a6ddc2f1eb7c219c09f6845b2181295a",11.2100640004,11.2100640004,"Viola_selkirkii","Viola_palustris",1
"2b92be0e5c71496595e11c762b829a0f",4.59317200039999,4.59317200039999,"Viola_palustris","Viola_pedata",1
"9d4aed4eda2f37f893a85f438e4b6be0",3.85781700039996,3.85781700039996,"Viola_pedata","Viola_sagittata",1
"a6540c723f65e114f6cee964ccb288e4",38.0386620004,38.0386620004,"Populus_tremuloides","Populus_balsamifera",1
"9ccbd4bb65f5565cc2455fb362b133e9",1.9028300004,1.9028300004,"Populus_tremuloides","Populus_grandidentata",1
"76dbb9c34b8abadc0c020468124e772a",7.34243200039998,7.34243200039998,"Salix_bebbiana","Salix_pedicellaris",1
"cd064aa28327022c2aebf874fa5d98c3",4.16621200039998,4.16621200039998,"Salix_humilis","Salix_interior",1
"7d5d0bf0ab851b273fad52b939bb5f14",104.2580590004,104.2580590004,"Crocanthemum_bicknellii","Toxicodendron_radicans",1
"de1cf141f323c169d4bdd2b8287a21e6",27.4491650001,27.4491650001,"Berteroa_incana","Sisymbrium_altissimum",1
"afa3544098ed1353b58f1928dea0c233",4.96758900010002,4.96758900010002,"Lepidium_virginicum","Lepidium_densiflorum",1
"ebbb9823214b3c2cebe67b32611d731c",79.9183410004,79.9183410004,"Toxicodendron_radicans","Acer_rubrum",1
"4fdf81d14bc8089859ee36d8f4d61fcf",19.4802020004,19.4802020004,"Toxicodendron_radicans","Rhus_typhina",1
"b818f91e3db3b636994b41565a736b98",1.02231200039995,1.02231200039995,"Rhus_typhina","Rhus_glabra",1
"7bf7cace42766c23428c1121a36ee642",13.3312590004,13.3312590004,"Acer_rubrum","Acer_negundo",1
"3eb0af38cd35e048f6fe0feae2b23178",1.08321800040005,1.08321800040005,"Chenopodium_album","Chenopodium_leptophyllum",1
"dffa080137a9251821a8a420b4c8cc1d",50.8198320004,50.8198320004,"Moehringia_lateriflora","Silene_antirrhina",1
"e6dfbdac1f5a7e3b005fd6f6ccb2d466",10.6887440004,10.6887440004,"Stellaria_longifolia","Stellaria_media",1
"568cf94824dc8b47ae66f2dc3fa52cc2",73.1087880004,73.1087880004,"Mollugo_verticillata","Portulaca_oleracea",1
"b4c4ff5a52ccbdee9d4522ce5c304706",23.9477320004,23.9477320004,"Cornus_alternifolia","Cornus_racemosa",1
"acc28c45d96dd240b17f8d7dae489335",18.1020070004,18.1020070004,"Cornus_racemosa","Cornus_sericea",1
"26b0c8f5c5427f11a2118cc618f450f2",25.9943850004,25.9943850004,"Hackelia_deflexa","Lithospermum_carolinense",1
"934ad0b35303b5a97984f0aa455bde1f",4.85158900040005,4.85158900040005,"Hackelia_deflexa","Hackelia_virginiana",1
"e33da685bc39d21bd6828b703a1587f6",1.16279500040002,1.16279500040002,"Lithospermum_canescens","Lithospermum_caroliniense",1
"e6787599c378668b86a70840b1496a79",71.0206090004,71.0206090004,"Seemannia_sylvatica","Fraxinus_nigra",1
"31d3b664bb33a1bf6bbeb1bacaeb4520",58.0988300004,58.0988300004,"Seemannia_sylvatica","Linaria_vulgaris",1
"5ac473b77b65836a6a1233ae69102191",1.51701600040008,1.51701600040008,"Verbena_hastata","Verbena_stricta",1
"f966089a54a85fa2b75dee6c435a7006",40.2889360004,40.2889360004,"Pedicularis_canadensis","Scutellaria_parvula",1
"ce82ec06c6b3ee90c12a5bee038d21ab",33.2405520004,33.2405520004,"Mimulus_ringens","Phryma_leptostachya",1
"53c0542984e3522ade63abf1f0acf9bb",34.2804180004001,34.2804180004001,"Scutellaria_parvula","Mosla_dianthera",1
"923548ff84180d2b3a6289a65fe4ee8f",25.3577520004001,25.3577520004001,"Mosla_dianthera","Lycopus_uniflorus",1
"f6e2fc4d2cc313c935855c1b76f02b07",17.1503790004,17.1503790004,"Lycopus_uniflorus","Monarda_punctata",1
"299d883fccc3552e2fd5d3434894675c",16.5065350004,16.5065350004,"Monarda_punctata","Nepeta_cataria",1
"f96787ac37141f2d535b99643896983c",1.08916400040005,1.08916400040005,"Monarda_punctata","Pycnanthemum_virginianum",1
"df7bc933e5bed632c918d661845d8539",13.9778870004001,13.9778870004001,"Agastache_foeniculum","Glechoma_hederacea",1
"bd286568f12d93c05907dee7b07dbc48",45.1591160004,45.1591160004,"Linaria_vulgaris","Plantago_major",1
"ecc438533e4bd7587031dad7312e38cf",30.5333870004,30.5333870004,"Plantago_major","Veronicastrum_virginicum",1
"75a9e13a23c9bc92a177eae323ca595d",16.6085850004,16.6085850004,"Plantago_major","Plantago_patagonica",1
"71b2fa34c9f2e51e842c479281a25c08",12.6629780004,12.6629780004,"Plantago_patagonica","Plantago_lanceolata",1
"20c54449b260b4c2ada1bb9551eb4b03",1.75768200040005,1.75768200040005,"Penstemon_gracilis","Penstemon_digitalis",1
"249def0a2a4e8060a6a96d85421c5153",8.0453710004,8.0453710004,"Fraxinus_nigra","Fraxinus_americana",1
"41f854a3d6e410fd982a49e4dac183d2",1.64327900040001,1.64327900040001,"Fraxinus_americana","Fraxinus_pennsylvanica",1
"ca1933b6237bb86fa8b48901f56c0d50",85.9131370004,85.9131370004,"Solanum_carolinense","Gentiana_andrewsii",1
"8a824081522353c48fbdd0d9324b141d",66.6498250004,66.6498250004,"Solanum_carolinense","Convolvulus_arvensis",1
"8ec5543947b733719aa149b1dcc10e4b",18.3964570004001,18.3964570004001,"Solanum_carolinense","Physalis_heterophylla",1
"18d55b8965e47f42c1468b728718316d",12.5141370004001,12.5141370004001,"Solanum_carolinense","Solanum_dulcamara",1
"5f31cb955bbb4c3c4d996c8061c66dee",9.77761700040008,9.77761700040008,"Solanum_dulcamara","Solanum_nigrum",1
"30c8843b925ebaa86ad07c6ebc80a621",4.97110500040009,4.97110500040009,"Physalis_heterophylla","Physalis_pubescens",1
"1d6583b7dd2ab757326569cb5f64f104",67.7278630004,67.7278630004,"Houstonia_longifolia","Apocynum_cannabinum",1
"00d37219420701c5b9f4ce17ddaae2bd",22.1378520004,22.1378520004,"Houstonia_longifolia","Galium_aparine",1
"bd4f6135e73ad833776c6374154d05da",6.40221100040003,6.40221100040003,"Galium_aparine","Galium_obtusum",1
"2fcf7b95c3d511367d564fbcb0060186",21.8944590004,21.8944590004,"Apocynum_cannabinum","Asclepias_syriaca",1
"7ca3537fd0acd95902ea3ac421980d75",5.59383000040003,5.59383000040003,"Apocynum_cannabinum","Apocynum_androsaemifolium",1
"fc5fe16a9b24cf4f8c7cf3f0f77f8dcb",3.00268100040006,3.00268100040006,"Asclepias_syriaca","Asclepias_verticillata",1
"36504b18d7993b1040c6a6993b0ea81c",1.82452100040007,1.82452100040007,"Asclepias_syriaca","Asclepias_tuberosa",1
"0627e93c0aff59dcf9d6f50dc0f250e0",0.678872000400077,0.678872000400077,"Asclepias_verticillata","Asclepias_incarnata",1
"1a53d4c273ee36cc96995158070fc673",60.1881660004,60.1881660004,"Cicuta_bulbifera","Aralia_nudicaulis",1
"37e1ed0fd44279f542966e7c8b1ce4cf",23.6041810004,23.6041810004,"Cicuta_bulbifera","Zizia_aurea",1
"4b2e41b83fde698891ab312ca2b11c23",0.925740000399969,0.925740000399969,"Zizia_aurea","Zizia_aptera",1
"a5c29182b52c326596490052b994582d",70.9379650004,70.9379650004,"Viburnum_lentago","Lonicera_tatarica",1
"a7b1bb69d53907d50ee9ead9c76e7ba8",24.3762830004,24.3762830004,"Lonicera_tatarica","Lonicera_dioica",1
"cb2dae41f99a02784d298a71efcc706c",45.5900700004,45.5900700004,"Lobelia_siphilitica","Campanula_rotundifolia",1
