spec.name.ORIG,Matched,Fuzzy,scientificName,taxonRank,family,genus,specificEpithet,Old.status,spec.name.new
Galium sp.,TRUE,FALSE,Galium,genus,Rubiaceae,Galium,sp.,,Galium sp.
Galium trifidum,TRUE,FALSE,Galium trifidum,species,Rubiaceae,Galium,trifidum,,Galium trifidum
Galium triflorum,TRUE,FALSE,Galium triflorum,species,Rubiaceae,Galium,triflorum,,Galium triflorum
Gentiana andrewsii,TRUE,FALSE,Gentiana andrewsii,species,Gentianaceae,Gentiana,andrewsii,,Gentiana andrewsii
Geranium maculatum,TRUE,FALSE,Geranium maculatum,species,Geraniaceae,Geranium,maculatum,,Geranium maculatum
Glechoma hederacea,TRUE,FALSE,Glechoma hederacea,species,Lamiaceae,Glechoma,hederacea,,Glechoma hederacea
Glyceria grandis,TRUE,FALSE,Glyceria grandis,species,Poaceae,Glyceria,grandis,,Glyceria grandis
Glyceria sp.,TRUE,FALSE,Glyceria,genus,Poaceae,Glyceria,sp.,,Glyceria sp.
Gnaphalium obtusifolium,TRUE,FALSE,Gamochaeta purpurea,species,Asteraceae,Gamochaeta,purpurea,Synonym,Gamochaeta purpurea
Gnaphalium sp.,TRUE,FALSE,Gnaphalium,genus,Asteraceae,Gnaphalium,sp.,,Gnaphalium sp.
Gnaphalium uliginosum,TRUE,FALSE,Gnaphalium uliginosum,species,Asteraceae,Gnaphalium,uliginosum,,Gnaphalium uliginosum
Grass seedlings,TRUE,TRUE,Grausa,genus,Loasaceae,Grausa,sp.,,Grausa sp.
Grasses,TRUE,TRUE,Hieracium crassescens,species,Asteraceae,Hieracium,crassescens,,Hieracium crassescens
Green matter (alive),TRUE,TRUE,Greenea,genus,Rubiaceae,Greenea,sp.,,Greenea sp.
Gymnocarpium dryopteris,TRUE,FALSE,Gymnocarpium dryopteris,species,Cystopteridaceae,Gymnocarpium,dryopteris,,Gymnocarpium dryopteris
Habenaria lacera,TRUE,FALSE,Platanthera lacera,species,Orchidaceae,Platanthera,lacera,Synonym,Platanthera lacera
Hackelia americana,TRUE,FALSE,Hackelia deflexa  var. americana,variety,Boraginaceae,Hackelia,deflexa,Synonym,Hackelia deflexa
Hedeoma hispida,TRUE,FALSE,Hedeoma hispida,species,Lamiaceae,Hedeoma,hispida,,Hedeoma hispida
Helenium autumnale,TRUE,FALSE,Helenium autumnale,species,Asteraceae,Helenium,autumnale,,Helenium autumnale
Helianthemum bicknellii,TRUE,FALSE,Crocanthemum bicknellii,species,Cistaceae,Crocanthemum,bicknellii,Synonym,Crocanthemum bicknellii
Helianthus giganteus,TRUE,FALSE,Helianthus giganteus,species,Asteraceae,Helianthus,giganteus,,Helianthus giganteus
Helianthus hirsutus,TRUE,FALSE,Helianthus hirsutus,species,Asteraceae,Helianthus,hirsutus,,Helianthus hirsutus
Helianthus laetiflorus,TRUE,FALSE,Helianthus laetiflorus,species,Asteraceae,Helianthus,laetiflorus,,Helianthus laetiflorus
Helianthus petiolaris,TRUE,FALSE,Helianthus petiolaris,species,Asteraceae,Helianthus,petiolaris,,Helianthus petiolaris
Helianthus sp.,TRUE,FALSE,Helianthus,genus,Asteraceae,Helianthus,sp.,,Helianthus sp.
Heliopsis helianthoides,TRUE,FALSE,Heliopsis helianthoides,species,Asteraceae,Heliopsis,helianthoides,,Heliopsis helianthoides
Heuchera richardsonii,TRUE,FALSE,Heuchera richardsonii,species,Saxifragaceae,Heuchera,richardsonii,,Heuchera richardsonii
Hieracium aurantiacum,TRUE,FALSE,Pilosella aurantiaca  subsp. aurantiaca,subspecies,Asteraceae,Pilosella,aurantiaca,Synonym,Pilosella aurantiaca
Hieracium kalmii,TRUE,FALSE,Hieracium umbellatum  subsp. umbellatum,subspecies,Asteraceae,Hieracium,umbellatum,Synonym,Hieracium umbellatum
Hieracium longipilum,TRUE,FALSE,Pilosella longipila,species,Asteraceae,Pilosella,longipila,Synonym,Pilosella longipila
Hieracium sp.,TRUE,FALSE,Hieracium,genus,Asteraceae,Hieracium,sp.,,Hieracium sp.
Hierochloe odorata,TRUE,FALSE,Hierochloe odorata,species,Poaceae,Hierochloe,odorata,,Hierochloe odorata
Houstonia longifolia,TRUE,FALSE,Houstonia longifolia,species,Rubiaceae,Houstonia,longifolia,,Houstonia longifolia
Hypericum majus,TRUE,FALSE,Hypericum majus,species,Hypericaceae,Hypericum,majus,,Hypericum majus
Hypoxis hirsuta,TRUE,FALSE,Hypoxis hirsuta,species,Hypoxidaceae,Hypoxis,hirsuta,,Hypoxis hirsuta
Ilex sp.,TRUE,FALSE,Ilex,genus,Aquifoliaceae,Ilex,sp.,,Ilex sp.
Ilex verticillata,TRUE,FALSE,Ilex verticillata,species,Aquifoliaceae,Ilex,verticillata,,Ilex verticillata
Impatiens capensis,TRUE,FALSE,Impatiens capensis,species,Balsaminaceae,Impatiens,capensis,,Impatiens capensis
Introduced,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Iris versicolor,TRUE,FALSE,Iris versicolor,species,Iridaceae,Iris,versicolor,,Iris versicolor
Juncus sp.,TRUE,FALSE,Juncus,genus,Juncaceae,Juncus,sp.,,Juncus sp.
Juncus tenuis,TRUE,FALSE,Juncus tenuis,species,Juncaceae,Juncus,tenuis,,Juncus tenuis
Juniperus communis,TRUE,FALSE,Juniperus communis,species,Cupressaceae,Juniperus,communis,,Juniperus communis
Juniperus sp.,TRUE,FALSE,Juniperus,genus,Cupressaceae,Juniperus,sp.,,Juniperus sp.
Juniperus virginiana,TRUE,FALSE,Juniperus virginiana,species,Cupressaceae,Juniperus,virginiana,,Juniperus virginiana
Koeleria cristata,TRUE,FALSE,Koeleria micrathera,species,Poaceae,Koeleria,micrathera,Synonym,Koeleria micrathera
Krigia biflora,TRUE,FALSE,Krigia biflora,species,Asteraceae,Krigia,biflora,,Krigia biflora
Lactuca biennis,TRUE,FALSE,Lactuca biennis,species,Asteraceae,Lactuca,biennis,,Lactuca biennis
Lactuca canadensis,TRUE,FALSE,Lactuca canadensis,species,Asteraceae,Lactuca,canadensis,,Lactuca canadensis
Lactuca serriola (scariola),TRUE,FALSE,Lactuca serriola,species,Asteraceae,Lactuca,serriola,,Lactuca serriola
Lactuca sp.,TRUE,FALSE,Lactuca,genus,Asteraceae,Lactuca,sp.,,Lactuca sp.
Larix laricina,TRUE,FALSE,Larix laricina,species,Pinaceae,Larix,laricina,,Larix laricina
Lathyrus ochroleucus,TRUE,FALSE,Lathyrus ochroleucus,species,Fabaceae,Lathyrus,ochroleucus,,Lathyrus ochroleucus
Lathyrus venosus,TRUE,FALSE,Lathyrus venosus,species,Fabaceae,Lathyrus,venosus,,Lathyrus venosus
Leaves,TRUE,TRUE,Leavenworthia,genus,Brassicaceae,Leavenworthia,sp.,,Leavenworthia sp.
Lechea stricta,TRUE,FALSE,Lechea stricta,species,Cistaceae,Lechea,stricta,,Lechea stricta
Leersia oryzoides,TRUE,FALSE,Leersia oryzoides,species,Poaceae,Leersia,oryzoides,,Leersia oryzoides
Lemna sp.,TRUE,FALSE,Lemna,genus,Araceae,Lemna,sp.,,Lemna sp.
Lepidium densiflorum,TRUE,FALSE,Lepidium densiflorum,species,Brassicaceae,Lepidium,densiflorum,,Lepidium densiflorum
Lepidium sp.,TRUE,FALSE,Lepidium,genus,Brassicaceae,Lepidium,sp.,,Lepidium sp.
Lepidium virginicum,TRUE,FALSE,Lepidium virginicum,species,Brassicaceae,Lepidium,virginicum,,Lepidium virginicum
Leptoloma cognatum,TRUE,TRUE,Digitaria cognata,species,Poaceae,Digitaria,cognata,Synonym,Digitaria cognata
Lespedeza capitata,TRUE,FALSE,Lespedeza capitata,species,Fabaceae,Lespedeza,capitata,,Lespedeza capitata
Liatris aspera,TRUE,FALSE,Liatris aspera,species,Asteraceae,Liatris,aspera,,Liatris aspera
Liatris ligulistylis,TRUE,FALSE,Liatris ligulistylis,species,Asteraceae,Liatris,ligulistylis,,Liatris ligulistylis
Liatris pycnostachya,TRUE,FALSE,Liatris pycnostachya,species,Asteraceae,Liatris,pycnostachya,,Liatris pycnostachya
Lichens,TRUE,TRUE,Riccia,genus,Ricciaceae,Riccia,sp.,Synonym,Riccia sp.
Liliaceae unknown,TRUE,TRUE,Liliaceae,family,Liliaceae,,,, 
Linaria vulgaris,TRUE,FALSE,Linaria vulgaris,species,Plantaginaceae,Linaria,vulgaris,,Linaria vulgaris
Lithospermum canescens,TRUE,FALSE,Lithospermum canescens,species,Boraginaceae,Lithospermum,canescens,,Lithospermum canescens
Lithospermum caroliniense,TRUE,FALSE,Lithospermum caroliniense,species,Boraginaceae,Lithospermum,caroliniense,,Lithospermum caroliniense
Lithospermum sp.,TRUE,FALSE,Lithospermum,genus,Boraginaceae,Lithospermum,sp.,,Lithospermum sp.
Lobelia siphilitica,TRUE,FALSE,Lobelia siphilitica,species,Campanulaceae,Lobelia,siphilitica,,Lobelia siphilitica
Lobelia spicata,TRUE,FALSE,Lobelia spicata,species,Campanulaceae,Lobelia,spicata,,Lobelia spicata
Lolium multiflorum,TRUE,FALSE,Lolium multiflorum,species,Poaceae,Lolium,multiflorum,,Lolium multiflorum
Lonicera dioica,TRUE,FALSE,Lonicera dioica,species,Caprifoliaceae,Lonicera,dioica,,Lonicera dioica
Lonicera tatarica,TRUE,FALSE,Lonicera tatarica,species,Caprifoliaceae,Lonicera,tatarica,,Lonicera tatarica
Ludwigia polycarpa,TRUE,FALSE,Ludwigia polycarpa,species,Onagraceae,Ludwigia,polycarpa,,Ludwigia polycarpa
Lupinus perennis,TRUE,FALSE,Lupinus perennis,species,Fabaceae,Lupinus,perennis,,Lupinus perennis
Lupinus sp.,TRUE,FALSE,Lupinus,genus,Fabaceae,Lupinus,sp.,,Lupinus sp.
Lychnis alba,TRUE,FALSE,Silene latifolia  subsp. alba,subspecies,Caryophyllaceae,Silene,latifolia,Synonym,Silene latifolia
Lycopodium complanatum,TRUE,FALSE,Lycopodium complanatum,species,Lycopodiaceae,Lycopodium,complanatum,,Lycopodium complanatum
Lycopus americana,TRUE,TRUE,Lycopus americanus,species,Lamiaceae,Lycopus,americanus,,Lycopus americanus
Lycopus sp.,TRUE,FALSE,Lycopus,genus,Lamiaceae,Lycopus,sp.,,Lycopus sp.
Lycopus uniflorus,TRUE,FALSE,Lycopus uniflorus,species,Lamiaceae,Lycopus,uniflorus,,Lycopus uniflorus
Lysimachia ciliata,TRUE,FALSE,Lysimachia ciliata,species,Primulaceae,Lysimachia,ciliata,,Lysimachia ciliata
Lysimachia thyrsiflora,TRUE,FALSE,Lysimachia thyrsiflora,species,Primulaceae,Lysimachia,thyrsiflora,,Lysimachia thyrsiflora
Maianthemum canadense,TRUE,FALSE,Maianthemum canadense,species,Asparagaceae,Maianthemum,canadense,,Maianthemum canadense
Man made object,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Medicago lupulina,TRUE,FALSE,Medicago lupulina,species,Fabaceae,Medicago,lupulina,,Medicago lupulina
Medicago sativa,TRUE,FALSE,Medicago sativa,species,Fabaceae,Medicago,sativa,,Medicago sativa
Medicago sp.,TRUE,FALSE,Medicago,genus,Fabaceae,Medicago,sp.,,Medicago sp.
Melilotus alba,TRUE,FALSE,Melilotus officinalis  subsp. albus,subspecies,Fabaceae,Melilotus,officinalis,Synonym,Melilotus officinalis
Melilotus officinalis,TRUE,FALSE,Melilotus officinalis,species,Fabaceae,Melilotus,officinalis,,Melilotus officinalis
Melilotus sp.,TRUE,FALSE,Melilotus,genus,Fabaceae,Melilotus,sp.,,Melilotus sp.
Mimulus ringens,TRUE,FALSE,Mimulus ringens,species,Phrymaceae,Mimulus,ringens,,Mimulus ringens
Mirabilis hirsuta,TRUE,FALSE,Mirabilis hirsuta,species,Nyctaginaceae,Mirabilis,hirsuta,,Mirabilis hirsuta
Mirabilis nyctaginea,TRUE,FALSE,Oxybaphus nyctagineus,species,Nyctaginaceae,Oxybaphus,nyctagineus,Synonym,Oxybaphus nyctagineus
Miscanthus giganteus,TRUE,FALSE,Miscanthus longiberbis,species,Poaceae,Miscanthus,longiberbis,Synonym,Miscanthus longiberbis
Miscellaneous forb,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous forb 2,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous grasses,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous grasses 2,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous herbs,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous herbs 2,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous legumes,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous litter,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous rushes,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous sedges,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous sp.,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Miscellaneous woody plants,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Mollugo verticillata,TRUE,FALSE,Mollugo verticillata,species,Molluginaceae,Mollugo,verticillata,,Mollugo verticillata
Monarda fistulosa,TRUE,FALSE,Monarda fistulosa,species,Lamiaceae,Monarda,fistulosa,,Monarda fistulosa
Monarda punctata,TRUE,FALSE,Monarda punctata,species,Lamiaceae,Monarda,punctata,,Monarda punctata
Mosses,TRUE,TRUE,Mosla dianthera,species,Lamiaceae,Mosla,dianthera,Synonym,Mosla dianthera
Mosses & lichens,TRUE,TRUE,Mosla dianthera,species,Lamiaceae,Mosla,dianthera,Synonym,Mosla dianthera
Mosses & lichens 2,TRUE,TRUE,Mosla dianthera,species,Lamiaceae,Mosla,dianthera,Synonym,Mosla dianthera
Muhlenbergia racemosa,TRUE,FALSE,Muhlenbergia racemosa,species,Poaceae,Muhlenbergia,racemosa,,Muhlenbergia racemosa
Native,TRUE,TRUE,Carex lativena,species,Cyperaceae,Carex,lativena,,Carex lativena
Nepeta cataria,TRUE,FALSE,Nepeta cataria,species,Lamiaceae,Nepeta,cataria,,Nepeta cataria
Non-vascular,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Oenothera biennis,TRUE,FALSE,Oenothera biennis,species,Onagraceae,Oenothera,biennis,,Oenothera biennis
Oenothera parviflora,TRUE,FALSE,Oenothera parviflora,species,Onagraceae,Oenothera,parviflora,,Oenothera parviflora
Oenothera rhombipetala,TRUE,FALSE,Oenothera rhombipetala,species,Onagraceae,Oenothera,rhombipetala,,Oenothera rhombipetala
Oenothera sp.,TRUE,FALSE,Oenothera,genus,Onagraceae,Oenothera,sp.,,Oenothera sp.
Onoclea sensibilis,TRUE,FALSE,Onoclea sensibilis,species,Onocleaceae,Onoclea,sensibilis,,Onoclea sensibilis
Osmunda cinnamomea,TRUE,FALSE,Osmundastrum cinnamomeum,species,Osmundaceae,Osmundastrum,cinnamomeum,Synonym,Osmundastrum cinnamomeum
Osmunda claytonii,TRUE,TRUE,Osmundastrum claytonianum,species,Osmundaceae,Osmundastrum,claytonianum,Synonym,Osmundastrum claytonianum
Osmunda regalis,TRUE,FALSE,Osmunda regalis,species,Osmundaceae,Osmunda,regalis,,Osmunda regalis
Oxalis sp.,TRUE,FALSE,Oxalis,genus,Oxalidaceae,Oxalis,sp.,,Oxalis sp.
Oxalis stricta,TRUE,FALSE,Oxalis stricta,species,Oxalidaceae,Oxalis,stricta,,Oxalis stricta
Oxybaphus hirsutus,TRUE,FALSE,Mirabilis hirsuta,species,Nyctaginaceae,Mirabilis,hirsuta,Synonym,Mirabilis hirsuta
Oxybaphus nyctaginea,TRUE,TRUE,Oxybaphus nyctagineus,species,Nyctaginaceae,Oxybaphus,nyctagineus,,Oxybaphus nyctagineus
Panicum capillare,TRUE,FALSE,Panicum capillare,species,Poaceae,Panicum,capillare,,Panicum capillare
Panicum lanuginosum,TRUE,FALSE,Dichanthelium lanuginosum,species,Poaceae,Dichanthelium,lanuginosum,Synonym,Dichanthelium lanuginosum
Panicum leibergi,TRUE,TRUE,Panicum leibergii,species,Poaceae,Panicum,leibergii,,Panicum leibergii
Panicum miliaceum,TRUE,FALSE,Panicum miliaceum,species,Poaceae,Panicum,miliaceum,,Panicum miliaceum
Panicum oligosanthes,TRUE,FALSE,Panicum oligosanthes,species,Poaceae,Panicum,oligosanthes,,Panicum oligosanthes
Panicum perlongum,TRUE,FALSE,Dichanthelium linearifolium,species,Poaceae,Dichanthelium,linearifolium,Synonym,Dichanthelium linearifolium
Panicum praecocious,TRUE,TRUE,Dichanthelium praecocius,species,Poaceae,Dichanthelium,praecocius,Synonym,Dichanthelium praecocius
Panicum sp.,TRUE,FALSE,Panicum,genus,Poaceae,Panicum,sp.,,Panicum sp.
Panicum virgatum,TRUE,FALSE,Panicum virgatum,species,Poaceae,Panicum,virgatum,,Panicum virgatum
Parietaria pensylvanica,TRUE,FALSE,Parietaria pensylvanica,species,Urticaceae,Parietaria,pensylvanica,,Parietaria pensylvanica
Parthenocissus inserta,TRUE,FALSE,Parthenocissus quinquefolia,species,Vitaceae,Parthenocissus,quinquefolia,Synonym,Parthenocissus quinquefolia
Parthenocissus quinquefolia,TRUE,FALSE,Parthenocissus quinquefolia,species,Vitaceae,Parthenocissus,quinquefolia,,Parthenocissus quinquefolia
Parthenocissus sp.,TRUE,FALSE,Parthenocissus,genus,Vitaceae,Parthenocissus,sp.,,Parthenocissus sp.
Parthenocissus vitacea,TRUE,FALSE,Parthenocissus vitacea,species,Vitaceae,Parthenocissus,vitacea,,Parthenocissus vitacea
Paspalum ciliatifolium,TRUE,FALSE,Paspalum setaceum,species,Poaceae,Paspalum,setaceum,Synonym,Paspalum setaceum
Pedicularis canadensis,TRUE,FALSE,Pedicularis canadensis,species,Orobanchaceae,Pedicularis,canadensis,,Pedicularis canadensis
Pedicularis sp.,TRUE,FALSE,Pedicularis,genus,Orobanchaceae,Pedicularis,sp.,,Pedicularis sp.
Penstemon digitalis,TRUE,FALSE,Penstemon digitalis,species,Plantaginaceae,Penstemon,digitalis,,Penstemon digitalis
Penstemon gracilis,TRUE,FALSE,Penstemon gracilis,species,Plantaginaceae,Penstemon,gracilis,,Penstemon gracilis
Penstemon grandiflorus,TRUE,FALSE,Penstemon grandiflorus,species,Plantaginaceae,Penstemon,grandiflorus,,Penstemon grandiflorus
Penstemon sp.,TRUE,FALSE,Penstemon,genus,Plantaginaceae,Penstemon,sp.,,Penstemon sp.
Penthorum sedoides,TRUE,FALSE,Penthorum sedoides,species,Penthoraceae,Penthorum,sedoides,,Penthorum sedoides
Perennials,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Permanently unassigned,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Petalostemum candidum,TRUE,TRUE,Dalea candida,species,Fabaceae,Dalea,candida,Synonym,Dalea candida
Petalostemum purpureum,TRUE,TRUE,Dalea purpurea,species,Fabaceae,Dalea,purpurea,Synonym,Dalea purpurea
Petalostemum sp.,TRUE,FALSE,Petalostemum,genus,,Petalostemum,sp.,,Petalostemum sp.
Petalostemum villosum,TRUE,TRUE,Dalea villosa,species,Fabaceae,Dalea,villosa,Synonym,Dalea villosa
Phalaris arundinacea,TRUE,FALSE,Phalaris arundinacea,species,Poaceae,Phalaris,arundinacea,,Phalaris arundinacea
Phleum pratense,TRUE,FALSE,Phleum pratense,species,Poaceae,Phleum,pratense,,Phleum pratense
Phlox paniculata,TRUE,FALSE,Phlox paniculata,species,Polemoniaceae,Phlox,paniculata,,Phlox paniculata
Phlox pilosa,TRUE,FALSE,Phlox pilosa,species,Polemoniaceae,Phlox,pilosa,,Phlox pilosa
Phlox sp.,TRUE,FALSE,Phlox,genus,Polemoniaceae,Phlox,sp.,,Phlox sp.
Phryma leptostachya,TRUE,FALSE,Phryma leptostachya,species,Phrymaceae,Phryma,leptostachya,,Phryma leptostachya
Physalis heterophylla,TRUE,FALSE,Physalis heterophylla,species,Solanaceae,Physalis,heterophylla,,Physalis heterophylla
Physalis sp.,TRUE,FALSE,Physalis,genus,Solanaceae,Physalis,sp.,,Physalis sp.
Physalis virginiana,TRUE,FALSE,Physalis virginiana,species,Solanaceae,Physalis,virginiana,,Physalis virginiana
Picea sp.,TRUE,FALSE,Picea,genus,Pinaceae,Picea,sp.,,Picea sp.
Pilea pumila,TRUE,FALSE,Pilea pumila,species,Urticaceae,Pilea,pumila,,Pilea pumila
Pine cones,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Pine needles,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Pinus banksiana,TRUE,FALSE,Pinus banksiana,species,Pinaceae,Pinus,banksiana,,Pinus banksiana
Pinus resinosa,TRUE,FALSE,Pinus resinosa,species,Pinaceae,Pinus,resinosa,,Pinus resinosa
Pinus sp.,TRUE,FALSE,Pinus,genus,Pinaceae,Pinus,sp.,,Pinus sp.
Pinus strobus,TRUE,FALSE,Pinus strobus,species,Pinaceae,Pinus,strobus,,Pinus strobus
Plantago (purshii) patagonica,TRUE,FALSE,Plantago,genus,Plantaginaceae,Plantago,sp.,,Plantago sp.
Plantago lanceolata,TRUE,FALSE,Plantago lanceolata,species,Plantaginaceae,Plantago,lanceolata,,Plantago lanceolata
Plantago major,TRUE,FALSE,Plantago major,species,Plantaginaceae,Plantago,major,,Plantago major
Poa compressa,TRUE,FALSE,Poa compressa,species,Poaceae,Poa,compressa,,Poa compressa
Poa palustris,TRUE,FALSE,Poa palustris,species,Poaceae,Poa,palustris,,Poa palustris
Poa pratensis,TRUE,FALSE,Poa pratensis,species,Poaceae,Poa,pratensis,,Poa pratensis
Poa sp.,TRUE,FALSE,Poa,genus,Poaceae,Poa,sp.,,Poa sp.
Polygala polygama,TRUE,FALSE,Polygala polygama,species,Polygalaceae,Polygala,polygama,,Polygala polygama
Polygala sanquinea,TRUE,TRUE,Polygala sanguinea,species,Polygalaceae,Polygala,sanguinea,,Polygala sanguinea
Polygala sp.,TRUE,FALSE,Polygala,genus,Polygalaceae,Polygala,sp.,,Polygala sp.
Polygonatum biflorum,TRUE,FALSE,Polygonatum biflorum,species,Asparagaceae,Polygonatum,biflorum,,Polygonatum biflorum
Polygonatum canaliculatum,TRUE,FALSE,Polygonatum biflorum,species,Asparagaceae,Polygonatum,biflorum,Synonym,Polygonatum biflorum
Polygonatum sp.,TRUE,FALSE,Polygonatum,genus,Asparagaceae,Polygonatum,sp.,,Polygonatum sp.
Polygonella articulata,TRUE,FALSE,Polygonella articulata,species,Polygonaceae,Polygonella,articulata,,Polygonella articulata
Polygonum amphibium,TRUE,FALSE,Persicaria amphibia,species,Polygonaceae,Persicaria,amphibia,Synonym,Persicaria amphibia
Polygonum arifolium,TRUE,FALSE,Polygonum thunbergii,species,Polygonaceae,Polygonum,thunbergii,Synonym,Polygonum thunbergii
Polygonum cilinode,TRUE,FALSE,Fallopia cilinodis,species,Polygonaceae,Fallopia,cilinodis,Synonym,Fallopia cilinodis
Polygonum convolvulus,TRUE,FALSE,Fallopia convolvulus,species,Polygonaceae,Fallopia,convolvulus,Synonym,Fallopia convolvulus
Polygonum hydropiper,TRUE,FALSE,Persicaria hydropiper,species,Polygonaceae,Persicaria,hydropiper,Synonym,Persicaria hydropiper
Polygonum lapathafolium,TRUE,TRUE,Persicaria lapathifolia,species,Polygonaceae,Persicaria,lapathifolia,Synonym,Persicaria lapathifolia
Polygonum pensylvanicum,TRUE,FALSE,Persicaria pensylvanica,species,Polygonaceae,Persicaria,pensylvanica,Synonym,Persicaria pensylvanica
Polygonum persicaria,TRUE,FALSE,Persicaria maculosa,species,Polygonaceae,Persicaria,maculosa,Synonym,Persicaria maculosa
Polygonum sagittatum,TRUE,FALSE,Persicaria sagittata,species,Polygonaceae,Persicaria,sagittata,Synonym,Persicaria sagittata
Polygonum scandens,TRUE,FALSE,Fallopia scandens,species,Polygonaceae,Fallopia,scandens,Synonym,Fallopia scandens
Polygonum sp.,TRUE,FALSE,Polygonum,genus,Polygonaceae,Polygonum,sp.,,Polygonum sp.
Polygonum tenue,TRUE,FALSE,Polygonum tenue,species,Polygonaceae,Polygonum,tenue,,Polygonum tenue
Polytricum sp.,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Populus balsamifera,TRUE,FALSE,Populus balsamifera,species,Salicaceae,Populus,balsamifera,,Populus balsamifera
Populus deltoides,TRUE,FALSE,Populus deltoides,species,Salicaceae,Populus,deltoides,,Populus deltoides
Populus grandidentata,TRUE,FALSE,Populus grandidentata,species,Salicaceae,Populus,grandidentata,,Populus grandidentata
Populus tremuloides,TRUE,FALSE,Populus tremuloides,species,Salicaceae,Populus,tremuloides,,Populus tremuloides
Portulaca oleracea,TRUE,FALSE,Portulaca oleracea,species,Portulacaceae,Portulaca,oleracea,,Portulaca oleracea
Potentilla argentea,TRUE,FALSE,Potentilla argentea,species,Rosaceae,Potentilla,argentea,,Potentilla argentea
Potentilla arguta,TRUE,FALSE,Potentilla arguta,species,Rosaceae,Potentilla,arguta,,Potentilla arguta
Potentilla norvegica,TRUE,FALSE,Potentilla norvegica,species,Rosaceae,Potentilla,norvegica,,Potentilla norvegica
Potentilla palustris,TRUE,FALSE,Comarum palustre,species,Rosaceae,Comarum,palustre,Synonym,Comarum palustre
Potentilla recta,TRUE,FALSE,Potentilla recta,species,Rosaceae,Potentilla,recta,,Potentilla recta
Potentilla simplex,TRUE,FALSE,Potentilla simplex,species,Rosaceae,Potentilla,simplex,,Potentilla simplex
Potentilla sp.,TRUE,FALSE,Potentilla,genus,Rosaceae,Potentilla,sp.,,Potentilla sp.
Prenanthes alba,TRUE,FALSE,Nabalus altissimus,species,Asteraceae,Nabalus,altissimus,Synonym,Nabalus altissimus
Prenanthes racemosa,TRUE,FALSE,Lactuca indica,species,Asteraceae,Lactuca,indica,Synonym,Lactuca indica
Prunella vulgaris,TRUE,FALSE,Prunella vulgaris,species,Lamiaceae,Prunella,vulgaris,,Prunella vulgaris
Prunus americana,TRUE,FALSE,Prunus americana,species,Rosaceae,Prunus,americana,,Prunus americana
Prunus pensylvanica,TRUE,FALSE,Prunus pensylvanica,species,Rosaceae,Prunus,pensylvanica,,Prunus pensylvanica
Prunus pumila,TRUE,FALSE,Prunus pumila,species,Rosaceae,Prunus,pumila,,Prunus pumila
Prunus serotina,TRUE,FALSE,Prunus serotina,species,Rosaceae,Prunus,serotina,,Prunus serotina
Prunus sp.,TRUE,FALSE,Prunus,genus,Rosaceae,Prunus,sp.,,Prunus sp.
Prunus virginiana,TRUE,FALSE,Prunus virginiana,species,Rosaceae,Prunus,virginiana,,Prunus virginiana
Pteridium aquilinum,TRUE,FALSE,Pteridium aquilinum,species,Dennstaedtiaceae,Pteridium,aquilinum,,Pteridium aquilinum
Pycnanthemum virginianum,TRUE,FALSE,Pycnanthemum virginianum,species,Lamiaceae,Pycnanthemum,virginianum,,Pycnanthemum virginianum
Pyrola rotundifolia,TRUE,FALSE,Pyrola rotundifolia,species,Ericaceae,Pyrola,rotundifolia,,Pyrola rotundifolia
Pyrola sp.,TRUE,FALSE,Pyrola,genus,Ericaceae,Pyrola,sp.,,Pyrola sp.
Pyrus malus,TRUE,FALSE,Malus domestica,species,Rosaceae,Malus,domestica,Synonym,Malus domestica
Quercus alba,TRUE,FALSE,Quercus alba,species,Fagaceae,Quercus,alba,,Quercus alba
Quercus borealis,TRUE,FALSE,Quercus petraea,species,Fagaceae,Quercus,petraea,Synonym,Quercus petraea
Quercus borealis-ellipsoidalis,TRUE,TRUE,Quercus,genus,Fagaceae,Quercus,sp.,,Quercus sp.
Quercus elipsoidalis grub,TRUE,TRUE,Quercus ellipsoidalis,species,Fagaceae,Quercus,ellipsoidalis,,Quercus ellipsoidalis
