spec.name.ORIG,Matched,Fuzzy,scientificName,taxonRank,family,genus,specificEpithet,Old.status,spec.name.new
Aristida basiramea,TRUE,FALSE,Aristida basiramea,species,Poaceae,Aristida,basiramea,,Aristida basiramea
Aristida sp.,TRUE,FALSE,Aristida,genus,Poaceae,Aristida,sp.,,Aristida sp.
Aristida tuberculosa,TRUE,FALSE,Aristida tuberculosa,species,Poaceae,Aristida,tuberculosa,,Aristida tuberculosa
Aronia melanocarpa,TRUE,FALSE,Aronia melanocarpa,species,Rosaceae,Aronia,melanocarpa,,Aronia melanocarpa
Artemisia (caudata) campestris,TRUE,FALSE,Artemisia,genus,Asteraceae,Artemisia,sp.,,Artemisia sp.
Artemisia ludoviciana,TRUE,FALSE,Artemisia ludoviciana,species,Asteraceae,Artemisia,ludoviciana,,Artemisia ludoviciana
Artemisia sp.,TRUE,FALSE,Artemisia,genus,Asteraceae,Artemisia,sp.,,Artemisia sp.
Asclepias exaltata,TRUE,FALSE,Asclepias exaltata,species,Apocynaceae,Asclepias,exaltata,,Asclepias exaltata
Asclepias incarnata,TRUE,FALSE,Asclepias incarnata,species,Apocynaceae,Asclepias,incarnata,,Asclepias incarnata
Asclepias ovalifolia,TRUE,FALSE,Asclepias ovalifolia,species,Apocynaceae,Asclepias,ovalifolia,,Asclepias ovalifolia
Asclepias sp.,TRUE,FALSE,Asclepias,genus,Apocynaceae,Asclepias,sp.,,Asclepias sp.
Asclepias syriaca,TRUE,FALSE,Asclepias syriaca,species,Apocynaceae,Asclepias,syriaca,,Asclepias syriaca
Asclepias tuberosa,TRUE,FALSE,Asclepias tuberosa,species,Apocynaceae,Asclepias,tuberosa,,Asclepias tuberosa
Asclepias verticillata,TRUE,FALSE,Asclepias verticillata,species,Apocynaceae,Asclepias,verticillata,,Asclepias verticillata
Asclepias viridiflora,TRUE,FALSE,Asclepias viridiflora,species,Apocynaceae,Asclepias,viridiflora,,Asclepias viridiflora
Asparagus officinalis,TRUE,FALSE,Asparagus officinalis,species,Asparagaceae,Asparagus,officinalis,,Asparagus officinalis
Aster azureus,TRUE,FALSE,Symphyotrichum oolentangiense,species,Asteraceae,Symphyotrichum,oolentangiense,Synonym,Symphyotrichum oolentangiense
Aster ericoides,TRUE,FALSE,Symphyotrichum ericoides,species,Asteraceae,Symphyotrichum,ericoides,Synonym,Symphyotrichum ericoides
Aster junciformis,TRUE,FALSE,Symphyotrichum boreale,species,Asteraceae,Symphyotrichum,boreale,Synonym,Symphyotrichum boreale
Aster lanceolatus (var. simplex),TRUE,FALSE,Symphyotrichum lanceolatum,species,Asteraceae,Symphyotrichum,lanceolatum,Synonym,Symphyotrichum lanceolatum
Aster macrophyllus,TRUE,FALSE,Eurybia macrophylla,species,Asteraceae,Eurybia,macrophylla,Synonym,Eurybia macrophylla
Aster novae-angliae,TRUE,FALSE,Symphyotrichum novae-angliae,species,Asteraceae,Symphyotrichum,novae-angliae,Synonym,Symphyotrichum novae-angliae
Aster ptarmicoides,TRUE,FALSE,Solidago ptarmicoides,species,Asteraceae,Solidago,ptarmicoides,Synonym,Solidago ptarmicoides
Aster puniceus,TRUE,FALSE,Symphyotrichum firmum,species,Asteraceae,Symphyotrichum,firmum,Synonym,Symphyotrichum firmum
Aster simplex,TRUE,FALSE,Symphyotrichum lanceolatum,species,Asteraceae,Symphyotrichum,lanceolatum,Synonym,Symphyotrichum lanceolatum
Aster sp.,TRUE,FALSE,Aster,genus,Asteraceae,Aster,sp.,,Aster sp.
Aster umbellatus,TRUE,FALSE,Doellingeria umbellata,species,Asteraceae,Doellingeria,umbellata,Synonym,Doellingeria umbellata
Astragalus canadensis,TRUE,FALSE,Astragalus canadensis,species,Fabaceae,Astragalus,canadensis,,Astragalus canadensis
Athyrium angustum,TRUE,FALSE,Athyrium asplenioides  var. angustum,variety,Aspleniaceae,Athyrium,asplenioides,Synonym,Athyrium asplenioides
Baptisia leucantha,TRUE,FALSE,Baptisia alba  var. macrophylla,variety,Fabaceae,Baptisia,alba,Synonym,Baptisia alba
Barbarea vulgaris,TRUE,FALSE,Barbarea vulgaris,species,Brassicaceae,Barbarea,vulgaris,,Barbarea vulgaris
Bare ground,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Berteroa incana,TRUE,FALSE,Berteroa incana,species,Brassicaceae,Berteroa,incana,,Berteroa incana
Betula allegheniensis,TRUE,TRUE,Betula alleghaniensis,species,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis
Betula papyrifera,TRUE,FALSE,Betula papyrifera,species,Betulaceae,Betula,papyrifera,,Betula papyrifera
Betula pumila,TRUE,FALSE,Betula pumila,species,Betulaceae,Betula,pumila,,Betula pumila
Bidens cernua,TRUE,FALSE,Bidens cernua,species,Asteraceae,Bidens,cernua,,Bidens cernua
Bidens coronata,TRUE,FALSE,Bidens coronata,species,Asteraceae,Bidens,coronata,,Bidens coronata
Bidens sp.,TRUE,FALSE,Bidens,genus,Asteraceae,Bidens,sp.,,Bidens sp.
Bidens tripartita,TRUE,FALSE,Bidens tripartita,species,Asteraceae,Bidens,tripartita,,Bidens tripartita
Botrichium sp.,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Bouteloua curtipendula,TRUE,FALSE,Bouteloua curtipendula,species,Poaceae,Bouteloua,curtipendula,,Bouteloua curtipendula
Bouteloua gracilis,TRUE,FALSE,Bouteloua gracilis,species,Poaceae,Bouteloua,gracilis,,Bouteloua gracilis
Bouteloua hirsuta,TRUE,FALSE,Bouteloua hirsuta,species,Poaceae,Bouteloua,hirsuta,,Bouteloua hirsuta
Bouteloua sp.,TRUE,FALSE,Bouteloua,genus,Poaceae,Bouteloua,sp.,,Bouteloua sp.
Bromus ciliatus,TRUE,FALSE,Bromus ciliatus,species,Poaceae,Bromus,ciliatus,,Bromus ciliatus
Bromus inermis,TRUE,FALSE,Bromus inermis,species,Poaceae,Bromus,inermis,,Bromus inermis
Bromus kalmii,TRUE,FALSE,Bromus kalmii,species,Poaceae,Bromus,kalmii,,Bromus kalmii
Bromus sp.,TRUE,FALSE,Bromus,genus,Poaceae,Bromus,sp.,,Bromus sp.
Bromus tectorum,TRUE,FALSE,Bromus tectorum,species,Poaceae,Bromus,tectorum,,Bromus tectorum
Buchloe dactyloides,TRUE,FALSE,Buchloe dactyloides,species,,Buchloe,dactyloides,,Buchloe dactyloides
Calamagrostis canadensis,TRUE,FALSE,Calamagrostis canadensis,species,Poaceae,Calamagrostis,canadensis,,Calamagrostis canadensis
Calamagrostis inexpansa,TRUE,FALSE,Calamagrostis inexpansa,species,Poaceae,Calamagrostis,inexpansa,,Calamagrostis inexpansa
Calamagrostis sp.,TRUE,FALSE,Calamagrostis,genus,Poaceae,Calamagrostis,sp.,,Calamagrostis sp.
Calamovilfa longifolia,TRUE,FALSE,Calamovilfa longifolia,species,Poaceae,Calamovilfa,longifolia,,Calamovilfa longifolia
Calamovilfa sp.,TRUE,FALSE,Calamovilfa,genus,Poaceae,Calamovilfa,sp.,,Calamovilfa sp.
Caltha palustris,TRUE,FALSE,Caltha palustris,species,Ranunculaceae,Caltha,palustris,,Caltha palustris
Campanula aparinoides,TRUE,FALSE,Campanula aparinoides,species,Campanulaceae,Campanula,aparinoides,,Campanula aparinoides
Campanula rotundifolia,TRUE,FALSE,Campanula rotundifolia,species,Campanulaceae,Campanula,rotundifolia,,Campanula rotundifolia
Campanula sp.,TRUE,FALSE,Campanula,genus,Campanulaceae,Campanula,sp.,,Campanula sp.
Canopy cover,TRUE,TRUE,Combretum,genus,Combretaceae,Combretum,sp.,Synonym,Combretum sp.
Capsella bursa-pastoris,TRUE,FALSE,Capsella bursa-pastoris,species,Brassicaceae,Capsella,bursa-pastoris,,Capsella bursa-pastoris
Carex bebbii,TRUE,FALSE,Carex bebbii,species,Cyperaceae,Carex,bebbii,,Carex bebbii
Carex bicknelli,TRUE,TRUE,Carex bicknellii,species,Cyperaceae,Carex,bicknellii,,Carex bicknellii
Carex canescens,TRUE,FALSE,Carex canescens,species,Cyperaceae,Carex,canescens,,Carex canescens
Carex cephalantha,TRUE,FALSE,Carex echinata,species,Cyperaceae,Carex,echinata,Synonym,Carex echinata
Carex chordorrhiza,TRUE,FALSE,Carex chordorrhiza,species,Cyperaceae,Carex,chordorrhiza,,Carex chordorrhiza
Carex comosa,TRUE,FALSE,Carex comosa,species,Cyperaceae,Carex,comosa,,Carex comosa
Carex diandra,TRUE,FALSE,Carex diandra,species,Cyperaceae,Carex,diandra,,Carex diandra
Carex disperma,TRUE,FALSE,Carex disperma,species,Cyperaceae,Carex,disperma,,Carex disperma
Carex foenea,TRUE,FALSE,Carex foenea,species,Cyperaceae,Carex,foenea,,Carex foenea
Carex gracillima,TRUE,FALSE,Carex gracillima,species,Cyperaceae,Carex,gracillima,,Carex gracillima
Carex haydenii,TRUE,FALSE,Carex haydenii,species,Cyperaceae,Carex,haydenii,,Carex haydenii
Carex interior,TRUE,FALSE,Carex interior,species,Cyperaceae,Carex,interior,,Carex interior
Carex lacustris,TRUE,FALSE,Carex lacustris,species,Cyperaceae,Carex,lacustris,,Carex lacustris
Carex lanuginosa,TRUE,FALSE,Carex lasiocarpa  var. americana,variety,Cyperaceae,Carex,lasiocarpa,Synonym,Carex lasiocarpa
Carex lasiocarpa,TRUE,FALSE,Carex lasiocarpa,species,Cyperaceae,Carex,lasiocarpa,,Carex lasiocarpa
Carex muhlenbergii,TRUE,FALSE,Carex vulpinoidea,species,Cyperaceae,Carex,vulpinoidea,Synonym,Carex vulpinoidea
Carex oligosperma,TRUE,FALSE,Carex oligosperma,species,Cyperaceae,Carex,oligosperma,,Carex oligosperma
Carex pensylvanicus,TRUE,TRUE,Carex pensylvanica,species,Cyperaceae,Carex,pensylvanica,,Carex pensylvanica
Carex rostrata,TRUE,FALSE,Carex rostrata,species,Cyperaceae,Carex,rostrata,,Carex rostrata
Carex scoparia,TRUE,FALSE,Carex scoparia,species,Cyperaceae,Carex,scoparia,,Carex scoparia
Carex sp.,TRUE,FALSE,Carex,genus,Cyperaceae,Carex,sp.,,Carex sp.
Carex stricta,TRUE,FALSE,Carex stricta,species,Cyperaceae,Carex,stricta,,Carex stricta
Cassia fasciculata,TRUE,FALSE,Chamaecrista fasciculata,species,Fabaceae,Chamaecrista,fasciculata,Synonym,Chamaecrista fasciculata
Ceanothus americanus,TRUE,FALSE,Ceanothus americanus,species,Rhamnaceae,Ceanothus,americanus,,Ceanothus americanus
Celastrus scandens,TRUE,FALSE,Celastrus scandens,species,Celastraceae,Celastrus,scandens,,Celastrus scandens
Cenchrus longispinus,TRUE,FALSE,Cenchrus longispinus,species,Poaceae,Cenchrus,longispinus,,Cenchrus longispinus
Chamaedaphne calyculata,TRUE,FALSE,Chamaedaphne calyculata,species,Ericaceae,Chamaedaphne,calyculata,,Chamaedaphne calyculata
Chenopodium album,TRUE,FALSE,Chenopodium album,species,Amaranthaceae,Chenopodium,album,,Chenopodium album
Chenopodium hybridum,TRUE,FALSE,Chenopodium hybridum,species,Amaranthaceae,Chenopodium,hybridum,,Chenopodium hybridum
Chenopodium leptophyllum,TRUE,FALSE,Chenopodium leptophyllum,species,Amaranthaceae,Chenopodium,leptophyllum,,Chenopodium leptophyllum
Chenopodium sp.,TRUE,FALSE,Chenopodium,genus,Amaranthaceae,Chenopodium,sp.,,Chenopodium sp.
