class,order,family,genus,species
Liliopsida,Poales,Poaceae,Bromus,Bromus tectorum
Liliopsida,Poales,Poaceae,Bouteloua,Bouteloua dactyloides
Liliopsida,Poales,Poaceae,Calamagrostis,Calamagrostis canadensis
Liliopsida,Poales,Poaceae,Calamagrostis,Calamagrostis stricta
Liliopsida,Poales,Poaceae,Sporobolus,Sporobolus rigidus
Magnoliopsida,Ranunculales,Ranunculaceae,Caltha,Caltha palustris
Magnoliopsida,Asterales,Campanulaceae,Campanula,Campanula aparinoides
Magnoliopsida,Asterales,Campanulaceae,Campanula,Campanula rotundifolia
Magnoliopsida,Brassicales,Brassicaceae,Capsella,Capsella bursa-pastoris
Liliopsida,Poales,Cyperaceae,Carex,Carex bebbii
Liliopsida,Poales,Cyperaceae,Carex,Carex bicknellii
Liliopsida,Poales,Cyperaceae,Carex,Carex canescens
Liliopsida,Poales,Cyperaceae,Carex,Carex echinata
Liliopsida,Poales,Cyperaceae,Carex,Carex chordorrhiza
Liliopsida,Poales,Cyperaceae,Carex,Carex comosa
Liliopsida,Poales,Cyperaceae,Carex,Carex diandra
Liliopsida,Poales,Cyperaceae,Carex,Carex disperma
Liliopsida,Poales,Cyperaceae,Carex,Carex foenea
Liliopsida,Poales,Cyperaceae,Carex,Carex gracillima
Liliopsida,Poales,Cyperaceae,Carex,Carex haydenii
Liliopsida,Poales,Cyperaceae,Carex,Carex interior
Liliopsida,Poales,Cyperaceae,Carex,Carex lacustris
Liliopsida,Poales,Cyperaceae,Carex,Carex lasiocarpa
Liliopsida,Poales,Cyperaceae,Carex,Carex vulpinoidea
Liliopsida,Poales,Cyperaceae,Carex,Carex oligosperma
Liliopsida,Poales,Cyperaceae,Carex,Carex pensylvanica
Liliopsida,Poales,Cyperaceae,Carex,Carex rostrata
Liliopsida,Poales,Cyperaceae,Carex,Carex scoparia
Liliopsida,Poales,Cyperaceae,Carex,Carex stricta
Magnoliopsida,Fabales,Fabaceae,Chamaecrista,Chamaecrista fasciculata
Magnoliopsida,Rosales,Rhamnaceae,Ceanothus,Ceanothus americanus
Magnoliopsida,Celastrales,Celastraceae,Celastrus,Celastrus scandens
Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus longispinus
Magnoliopsida,Ericales,Ericaceae,Chamaedaphne,Chamaedaphne calyculata
Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium album
Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodiastrum,Chenopodiastrum hybridum
Magnoliopsida,Caryophyllales,Amaranthaceae,Chenopodium,Chenopodium leptophyllum
Magnoliopsida,Asterales,Asteraceae,Heterotheca,Heterotheca villosa
Magnoliopsida,Apiales,Apiaceae,Cicuta,Cicuta bulbifera
Magnoliopsida,Myrtales,Onagraceae,Circaea,Circaea lutetiana
Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium arvense
Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium discolor
Magnoliopsida,Santalales,Santalaceae,Comandra,Comandra umbellata
Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,Convolvulus arvensis
Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron canadensis
Magnoliopsida,Asterales,Asteraceae,Coreopsis,Coreopsis palmata
Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus alternifolia
Magnoliopsida,Cornales,Cornaceae,Cornus,Cornus racemosa
