class,order,family,genus,species
Liliopsida,Asparagales,Iridaceae,Sisyrinchium,Sisyrinchium campestre
Liliopsida,Asparagales,Asparagaceae,Maianthemum,Maianthemum racemosum
Liliopsida,Asparagales,Asparagaceae,Maianthemum,Maianthemum stellatum
Liliopsida,Liliales,Smilacaceae,Smilax,Smilax herbacea
Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum americanum
Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum nigrum
Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum carolinense
Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum dulcamara
Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago altissima
Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago canadensis
Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago gigantea
Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago juncea
Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago missouriensis
Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago nemoralis
Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago rigida
Magnoliopsida,Asterales,Asteraceae,Solidago,Solidago speciosa
Magnoliopsida,Asterales,Asteraceae,Sonchus,Sonchus arvensis
Liliopsida,Poales,Poaceae,Sorghastrum,Sorghastrum nutans
Liliopsida,Poales,Poaceae,Sporobolus,Sporobolus michauxianus
Magnoliopsida,Rosales,Rosaceae,Spiraea,Spiraea alba
Magnoliopsida,Rosales,Rosaceae,Spiraea,Spiraea tomentosa
Liliopsida,Poales,Poaceae,Sporobolus,Sporobolus cryptandrus
Liliopsida,Poales,Poaceae,Sporobolus,Sporobolus heterolepis
Magnoliopsida,Lamiales,Lamiaceae,Stachys,Stachys palustris
Magnoliopsida,Lamiales,Lamiaceae,Stachys,Stachys tenuifolia
Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria longifolia
Magnoliopsida,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria media
Liliopsida,Poales,Poaceae,Stipa,Stipa spartea
Liliopsida,Poales,Poaceae,Stipa,Stipa comata
Liliopsida,Poales,Poaceae,Trachypogon,Trachypogon spicatus
Liliopsida,Liliales,Liliaceae,Streptopus,Streptopus lanceolatus
Magnoliopsida,Fabales,Fabaceae,Strophostyles,Strophostyles leiosperma
Magnoliopsida,Dipsacales,Caprifoliaceae,Symphoricarpos,Symphoricarpos occidentalis
Magnoliopsida,Asterales,Asteraceae,Taraxacum,Taraxacum campylodes
Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum dasycarpum
Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum dioicum
Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia bracteata
Liliopsida,Commelinales,Commelinaceae,Tradescantia,Tradescantia occidentalis
Magnoliopsida,Asterales,Asteraceae,Tragopogon,Tragopogon duarius
Magnoliopsida,Malpighiales,Hypericaceae,Triadenum,Triadenum fraseri
Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia borealis
Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium arvense
Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium hybridum
Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium pratense
Magnoliopsida,Fabales,Fabaceae,Trifolium,Trifolium repens
Liliopsida,Poales,Typhaceae,Typha,Typha angustifolia
Liliopsida,Poales,Typhaceae,Typha,Typha latifolia
Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus americana
Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus pumila
Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica dioica
Liliopsida,Liliales,Colchicaceae,Uvularia,Uvularia sessilifolia
Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium angustifolium
Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium myrtilloides
Magnoliopsida,Lamiales,Scrophulariaceae,Verbascum,Verbascum thapsus
Magnoliopsida,Lamiales,Verbenaceae,Verbena,Verbena bracteata
Magnoliopsida,Lamiales,Verbenaceae,Verbena,Verbena hastata
Magnoliopsida,Lamiales,Verbenaceae,Verbena,Verbena stricta
Magnoliopsida,Asterales,Asteraceae,Vernonia,Vernonia fasciculata
Magnoliopsida,Lamiales,Plantaginaceae,Veronicastrum,Veronicastrum virginicum
Magnoliopsida,Dipsacales,Adoxaceae,Viburnum,Viburnum lentago
Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia sativa
Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia villosa
Magnoliopsida,Malpighiales,Violaceae,Viola,Viola macloskeyi
Magnoliopsida,Malpighiales,Violaceae,Viola,Viola palustris
Magnoliopsida,Malpighiales,Violaceae,Viola,Viola pedata
Magnoliopsida,Malpighiales,Violaceae,Viola,Viola pedatifida
Magnoliopsida,Malpighiales,Violaceae,Viola,Viola sagittata
Magnoliopsida,Malpighiales,Violaceae,Viola,Viola selkirkii
Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis vulpina
Liliopsida,Poales,Xyridaceae,Xyris,Xyris torta
Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum americanum
Magnoliopsida,Apiales,Apiaceae,Zizia,Zizia aptera
Magnoliopsida,Apiales,Apiaceae,Zizia,Zizia aurea
Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba
