taxon,birth,death,ccp,source
__TAXONOMIC_ROOT__,0.04151157206109838,0.031827184492837106,0.9997541525176319,computed
Adoxaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Viburnum,0.04151157206109838,0.031827184492837106,0,from Adoxaceae (singleton)
Alismataceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Sagittaria,0.04151157206109838,0.031827184492837106,0,from Alismataceae (singleton)
Amaranthaceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Amaranthus,0.04151157206109838,0.031827184492837106,0,from Amaranthaceae (singleton)
Chenopodiastrum,0.04151157206109838,0.031827184492837106,0,from Amaranthaceae (singleton)
Chenopodium,0.04151157206109838,0.031827184492837106,1.0,from Amaranthaceae (cherry)
Dysphania,0.04151157206109838,0.031827184492837106,0,from Amaranthaceae (singleton)
Kali,0.04151157206109838,0.031827184492837106,0,from Amaranthaceae (singleton)
Amaryllidaceae,0.04151157206109838,0.031827184492837106,1.0,from __TAXONOMIC_ROOT__ (cherry)
Allium,0.04151157206109838,0.031827184492837106,1.0,from Amaryllidaceae (cherry)
Anacardiaceae,0.05480559725941256,0.05480509146610133,1.0,computed
Rhus,0.05480559725941256,0.05480509146610133,1.0,from Anacardiaceae (cherry)
Toxicodendron,0.05480559725941256,0.05480509146610133,0,from Anacardiaceae (singleton)
Apiaceae,0.04025841126914598,0.04025787277558072,1.0,computed
Cicuta,0.04025841126914598,0.04025787277558072,0,from Apiaceae (singleton)
Zizia,0.04025841126914598,0.04025787277558072,1.0,from Apiaceae (cherry)
Apocynaceae,0.04971107822919263,1.09598478205579e-05,1.0,computed
Apocynum,0.04971107822919263,1.09598478205579e-05,1.0,from Apocynaceae (cherry)
Asclepias,0.07421919269955472,0.0,1.0,computed
Aquifoliaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Ilex,0.04151157206109838,0.031827184492837106,0,from Aquifoliaceae (singleton)
Araliaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Aralia,0.04151157206109838,0.031827184492837106,0,from Araliaceae (singleton)
Asparagaceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Asparagus,0.04151157206109838,0.031827184492837106,0,from Asparagaceae (singleton)
Maianthemum,0.037507490490624414,0.0,1.0,computed
Polygonatum,0.04151157206109838,0.031827184492837106,0,from Asparagaceae (singleton)
Asteraceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Achillea,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Ageratina,0.04151157206109838,0.031827184492837106,0.0,from Asteraceae (unsampled)
Ambrosia,0.04151157206109838,0.031827184492837106,1.0,from Asteraceae (cherry)
Antennaria,0.04717325371563081,0.0,1.0,computed
Artemisia,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Bidens,0.03583423766519361,0.0,1.0,computed
Cirsium,0.04151157206109838,0.031827184492837106,1.0,from Asteraceae (cherry)
